Open, Close, Max, Min, Volume, Creation Time
0.000, 0.000, 0.000, 0.000, 0.000, 1727681756621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681816621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681876621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681936621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681996621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682056621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682116621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682176621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682236621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682296621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682356621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682416621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682476621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682536622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682596621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682656622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682716622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682776621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682836621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682896621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682956621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683016621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683076621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683136621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683196621
187.750, 187.390, 188.250, 187.160, 10632.000, 1727683256621
187.390, 187.700, 187.790, 187.390, 3637.000, 1727683316621
187.540, 187.600, 187.690, 187.470, 420.000, 1727683376621
187.580, 187.470, 187.590, 187.430, 1691.000, 1727683436621
187.380, 187.390, 187.500, 187.300, 1570.000, 1727683496621
187.300, 187.220, 187.300, 187.160, 351.000, 1727683556621
187.200, 187.300, 187.350, 187.190, 325.000, 1727683616621
187.300, 187.270, 187.300, 187.250, 491.000, 1727683676621
187.240, 187.310, 187.310, 187.230, 611.000, 1727683736621
187.350, 187.350, 187.350, 187.350, 1.000, 1727683796621
187.360, 187.500, 187.620, 187.350, 450.000, 1727683856621
187.500, 187.470, 187.500, 187.470, 87.000, 1727683916621
187.470, 187.470, 187.470, 187.470, 5.000, 1727683976621
187.470, 187.470, 187.470, 187.450, 16.000, 1727684036621
187.470, 187.560, 187.580, 187.470, 251.000, 1727684096621
187.540, 187.520, 187.540, 187.440, 8.000, 1727684156621
187.500, 187.490, 187.500, 187.450, 688.000, 1727684216621
187.430, 187.410, 187.470, 187.360, 962.000, 1727684276621
187.450, 187.440, 187.450, 187.440, 201.000, 1727684336621
187.470, 187.540, 187.600, 187.470, 686.000, 1727684396621
187.540, 187.580, 187.580, 187.500, 189.000, 1727684456621
187.550, 187.560, 187.600, 187.550, 516.000, 1727684516621
187.590, 187.570, 187.590, 187.560, 105.000, 1727684576621
187.570, 187.540, 187.570, 187.540, 22.000, 1727684636621
187.480, 187.480, 187.570, 187.480, 71.000, 1727684696621
187.600, 187.640, 187.640, 187.550, 625.000, 1727684756621
187.650, 187.660, 187.660, 187.650, 820.000, 1727684816621
187.700, 187.700, 187.700, 187.650, 461.000, 1727684876621
187.700, 187.700, 187.700, 187.700, 170.000, 1727684936621
187.700, 187.720, 187.720, 187.700, 568.000, 1727684996621
187.700, 187.700, 187.700, 187.700, 1.000, 1727685056621
187.660, 187.510, 187.670, 187.510, 282.000, 1727685116621
187.500, 187.500, 187.510, 187.500, 114.000, 1727685176621
187.500, 187.500, 187.500, 187.500, 17.000, 1727685236621
187.510, 187.510, 187.550, 187.510, 469.000, 1727685296621
187.500, 187.500, 187.500, 187.490, 20.000, 1727685356621
187.490, 187.550, 187.550, 187.490, 290.000, 1727685416621
187.520, 187.560, 187.560, 187.520, 804.000, 1727685476621
187.590, 187.540, 187.590, 187.540, 61.000, 1727685536621
187.500, 187.570, 187.570, 187.500, 9.000, 1727685596621
187.570, 187.570, 187.570, 187.570, 40.000, 1727685656621
0.000, 0.000, 0.000, 0.000, 0.000, 1727685716621
187.590, 187.570, 187.590, 187.570, 65.000, 1727685776621
187.590, 187.590, 187.590, 187.590, 2.000, 1727685836621
187.580, 187.570, 187.580, 187.570, 25.000, 1727685896621
187.580, 187.550, 187.580, 187.550, 74.000, 1727685956621
187.570, 187.570, 187.570, 187.570, 5.000, 1727686016621
187.520, 187.550, 187.550, 187.520, 25.000, 1727686076621
187.530, 187.480, 187.530, 187.480, 196.000, 1727686136621
187.480, 187.480, 187.500, 187.480, 303.000, 1727686196621
187.500, 187.530, 187.530, 187.500, 159.000, 1727686256621
187.550, 187.550, 187.550, 187.520, 49.000, 1727686316621
187.510, 187.540, 187.540, 187.500, 68.000, 1727686376621
187.520, 187.520, 187.520, 187.520, 11.000, 1727686436621
187.520, 187.550, 187.550, 187.520, 181.000, 1727686496622
0.000, 0.000, 0.000, 0.000, 0.000, 1727686556622
187.550, 187.520, 187.550, 187.520, 111.000, 1727686616621
187.550, 187.550, 187.550, 187.550, 1.000, 1727686676621
187.510, 187.540, 187.560, 187.510, 409.000, 1727686736621
187.540, 187.510, 187.540, 187.510, 198.000, 1727686796621
187.560, 187.560, 187.560, 187.560, 1.000, 1727686856621
187.560, 187.560, 187.570, 187.550, 184.000, 1727686916621
0.000, 0.000, 0.000, 0.000, 0.000, 1727686976621
187.500, 187.520, 187.520, 187.490, 39.000, 1727687036621
187.510, 187.510, 187.520, 187.500, 248.000, 1727687096621
187.520, 187.570, 187.570, 187.520, 260.000, 1727687156621
0.000, 0.000, 0.000, 0.000, 0.000, 1727687216621
187.570, 187.580, 187.580, 187.530, 36.000, 1727687276621
187.580, 187.530, 187.580, 187.530, 2.000, 1727687336621
187.570, 187.530, 187.570, 187.530, 6.000, 1727687396621
187.530, 187.500, 187.530, 187.500, 36.000, 1727687456621
187.490, 187.490, 187.490, 187.490, 50.000, 1727687516621
187.480, 187.450, 187.490, 187.450, 729.000, 1727687576621
187.450, 187.450, 187.450, 187.450, 600.000, 1727687636621
187.500, 187.450, 187.500, 187.450, 34.000, 1727687696621
187.500, 187.470, 187.500, 187.470, 4.000, 1727687756621
187.440, 187.450, 187.450, 187.440, 63.000, 1727687816621
187.430, 187.360, 187.450, 187.360, 471.000, 1727687876621
187.340, 187.380, 187.380, 187.320, 358.000, 1727687936621
187.370, 187.380, 187.380, 187.370, 51.000, 1727687996621
187.380, 187.300, 187.390, 187.290, 136.000, 1727688056621
187.290, 187.300, 187.310, 187.260, 21.000, 1727688116621
187.390, 187.410, 187.420, 187.380, 230.000, 1727688176621
187.320, 187.350, 187.350, 187.320, 585.000, 1727688236621
187.380, 187.410, 187.410, 187.370, 475.000, 1727688296621
187.460, 187.530, 187.550, 187.450, 303.000, 1727688356621
187.510, 187.500, 187.510, 187.500, 160.000, 1727688416621
187.540, 187.540, 187.540, 187.540, 1.000, 1727688476621
187.520, 187.520, 187.520, 187.520, 1.000, 1727688536621
0.000, 0.000, 0.000, 0.000, 0.000, 1727688596621
187.530, 187.530, 187.530, 187.530, 1.000, 1727688656621
187.560, 187.550, 187.620, 187.540, 546.000, 1727688716621
0.000, 0.000, 0.000, 0.000, 0.000, 1727688776621
0.000, 0.000, 0.000, 0.000, 0.000, 1727688836621
187.550, 187.620, 187.620, 187.550, 34.000, 1727688896621
187.560, 187.550, 187.630, 187.550, 682.000, 1727688956621
187.580, 187.580, 187.580, 187.580, 10.000, 1727689016621
187.560, 187.550, 187.560, 187.550, 122.000, 1727689076621
187.550, 187.510, 187.550, 187.510, 77.000, 1727689136621
187.550, 187.550, 187.550, 187.550, 34.000, 1727689196621
0.000, 0.000, 0.000, 0.000, 0.000, 1727689256621
187.610, 187.630, 187.630, 187.600, 31.000, 1727689316621
187.600, 187.580, 187.600, 187.580, 240.000, 1727689376621
187.570, 187.480, 187.570, 187.480, 172.000, 1727689436621
187.500, 187.460, 187.550, 187.460, 95.000, 1727689496621
187.480, 187.460, 187.480, 187.460, 115.000, 1727689556621
187.500, 187.500, 187.500, 187.500, 5.000, 1727689616621
187.530, 187.520, 187.530, 187.500, 13.000, 1727689676621
187.460, 187.460, 187.460, 187.460, 1.000, 1727689736621
0.000, 0.000, 0.000, 0.000, 0.000, 1727689796621
187.490, 187.490, 187.510, 187.490, 270.000, 1727689856621
187.520, 187.520, 187.520, 187.480, 175.000, 1727689916621
187.520, 187.520, 187.520, 187.450, 20.000, 1727689976621
187.500, 187.460, 187.500, 187.450, 30.000, 1727690036621
187.500, 187.460, 187.520, 187.460, 107.000, 1727690096621
187.490, 187.460, 187.520, 187.460, 105.000, 1727690156621
187.460, 187.460, 187.460, 187.460, 4.000, 1727690216621
187.460, 187.560, 187.560, 187.460, 1126.000, 1727690276621
187.500, 187.520, 187.560, 187.500, 226.000, 1727690336621
187.560, 187.560, 187.560, 187.560, 1.000, 1727690396621
187.560, 187.560, 187.560, 187.560, 1.000, 1727690456621
187.560, 187.500, 187.560, 187.500, 11.000, 1727690516621
187.560, 187.580, 187.580, 187.560, 182.000, 1727690576621
187.630, 187.630, 187.630, 187.630, 44.000, 1727690636621
187.590, 187.760, 187.760, 187.590, 35.000, 1727690696621
187.630, 187.720, 187.720, 187.630, 85.000, 1727690756621
187.720, 187.720, 187.720, 187.720, 5.000, 1727690816621
187.660, 187.660, 187.660, 187.660, 1.000, 1727690876621
0.000, 0.000, 0.000, 0.000, 0.000, 1727690936621
187.660, 187.650, 187.660, 187.650, 165.000, 1727690996621
187.720, 187.660, 187.720, 187.660, 117.000, 1727691056621
187.620, 187.620, 187.620, 187.620, 2.000, 1727691116621
187.660, 187.660, 187.660, 187.660, 414.000, 1727691176621
0.000, 0.000, 0.000, 0.000, 0.000, 1727691236621
187.670, 187.660, 187.670, 187.660, 4.000, 1727691296621
0.000, 0.000, 0.000, 0.000, 0.000, 1727691356621
187.750, 187.700, 187.770, 187.700, 33.000, 1727691416621
187.770, 187.790, 187.800, 187.770, 118.000, 1727691476621
0.000, 0.000, 0.000, 0.000, 0.000, 1727691536621
187.700, 187.800, 187.800, 187.700, 175.000, 1727691596621
0.000, 0.000, 0.000, 0.000, 0.000, 1727691656621
0.000, 0.000, 0.000, 0.000, 0.000, 1727691716621
187.790, 187.790, 187.790, 187.790, 2.000, 1727691776621
187.790, 187.680, 187.790, 187.680, 14.000, 1727691836621
187.790, 187.780, 187.790, 187.640, 1009.000, 1727691896621
187.790, 187.800, 187.800, 187.780, 153.000, 1727691956621
187.620, 187.370, 187.660, 187.370, 5196.000, 1727692016621
187.490, 187.460, 187.780, 187.450, 3316.000, 1727692076621
0.000, 0.000, 0.000, 0.000, 0.000, 1727692136621
187.550, 187.470, 187.550, 187.470, 26.000, 1727692196621
187.550, 187.500, 187.550, 187.460, 171.000, 1727692256621
187.450, 187.460, 187.500, 187.450, 37.000, 1727692316621
187.470, 187.550, 187.550, 187.470, 29.000, 1727692376621
187.550, 187.450, 187.550, 187.450, 361.000, 1727692436621
187.450, 187.460, 187.460, 187.450, 23.000, 1727692496621
187.330, 187.310, 187.450, 187.260, 922.000, 1727692556621
187.500, 187.320, 187.510, 187.320, 231.000, 1727692616621
0.000, 0.000, 0.000, 0.000, 0.000, 1727692676621
187.300, 187.490, 187.490, 187.300, 18.000, 1727692736621
187.490, 187.330, 187.490, 187.330, 4.000, 1727692796621
187.490, 187.490, 187.490, 187.490, 100.000, 1727692856621
187.330, 187.330, 187.330, 187.330, 3.000, 1727692916621
187.350, 187.360, 187.360, 187.350, 4.000, 1727692976621
187.520, 187.360, 187.520, 187.360, 202.000, 1727693036621
187.530, 187.520, 187.540, 187.490, 212.000, 1727693096621
187.530, 187.530, 187.530, 187.530, 3.000, 1727693156621
187.400, 187.400, 187.400, 187.400, 3.000, 1727693216621
187.500, 187.500, 187.500, 187.500, 2.000, 1727693276621
187.520, 187.510, 187.520, 187.510, 104.000, 1727693336621
187.500, 187.410, 187.530, 187.410, 70.000, 1727693396621
187.470, 187.370, 187.470, 187.370, 74.000, 1727693456621
187.400, 187.410, 187.410, 187.400, 69.000, 1727693516622
187.400, 187.400, 187.400, 187.400, 421.000, 1727693576621
187.410, 187.410, 187.410, 187.410, 1.000, 1727693636621
0.000, 0.000, 0.000, 0.000, 0.000, 1727693696621
0.000, 0.000, 0.000, 0.000, 0.000, 1727693756621
187.430, 187.400, 187.430, 187.400, 1045.000, 1727693816621
187.410, 187.410, 187.410, 187.410, 2.000, 1727693876621
187.450, 187.460, 187.550, 187.410, 2101.000, 1727693936621
187.530, 187.610, 187.620, 187.470, 242.000, 1727693996621
187.600, 187.620, 187.700, 187.550, 2394.000, 1727694056621
187.600, 187.710, 187.750, 187.600, 13459.000, 1727694116621
187.770, 187.950, 187.960, 187.750, 2139.000, 1727694176621
187.950, 187.870, 187.950, 187.870, 1414.000, 1727694236621
187.900, 187.900, 187.900, 187.850, 761.000, 1727694296621
187.870, 187.780, 187.870, 187.780, 569.000, 1727694356621
187.800, 187.770, 187.860, 187.770, 959.000, 1727694416621
187.760, 187.700, 187.760, 187.600, 1970.000, 1727694476621
187.680, 187.780, 187.780, 187.680, 41.000, 1727694536621
187.680, 187.590, 187.680, 187.590, 460.000, 1727694596621
187.560, 187.470, 187.590, 187.470, 5666.000, 1727694656621
187.490, 187.140, 187.490, 187.130, 3792.000, 1727694716621
187.130, 187.220, 187.220, 187.070, 2458.000, 1727694776621
187.250, 187.400, 187.400, 187.250, 3310.000, 1727694836621
187.340, 187.170, 187.340, 187.140, 3965.000, 1727694896621
187.190, 187.210, 187.250, 187.190, 83.000, 1727694956621
187.250, 186.860, 187.260, 186.860, 6686.000, 1727695016621
186.920, 187.020, 187.090, 186.920, 1602.000, 1727695076621
187.020, 187.100, 187.100, 187.020, 284.000, 1727695136621
187.160, 187.160, 187.160, 187.120, 203.000, 1727695196621
187.180, 187.250, 187.250, 187.170, 453.000, 1727695256621
187.170, 187.200, 187.200, 187.170, 25.000, 1727695316621
187.150, 187.040, 187.170, 187.040, 1434.000, 1727695376621
187.080, 187.100, 187.110, 187.060, 979.000, 1727695436621
187.100, 187.190, 187.200, 187.100, 274.000, 1727695496621
187.180, 187.180, 187.180, 187.180, 1.000, 1727695556621
187.150, 187.150, 187.150, 187.150, 4.000, 1727695616621
187.150, 187.290, 187.300, 187.150, 517.000, 1727695676621
187.180, 187.130, 187.180, 187.130, 116.000, 1727695736621
187.140, 187.150, 187.150, 187.020, 1275.000, 1727695796621
187.020, 187.180, 187.180, 187.020, 105.000, 1727695856621
187.060, 187.060, 187.060, 187.060, 1.000, 1727695916621
0.000, 0.000, 0.000, 0.000, 0.000, 1727695976621
187.110, 187.000, 187.110, 187.000, 2132.000, 1727696036621
187.000, 187.020, 187.020, 186.960, 1227.000, 1727696096621
187.030, 187.090, 187.090, 186.990, 174.000, 1727696156621
187.090, 187.070, 187.090, 187.070, 85.000, 1727696216621
187.040, 187.040, 187.040, 187.040, 40.000, 1727696276621
187.010, 186.950, 187.010, 186.950, 407.000, 1727696336621
186.950, 186.950, 186.980, 186.950, 175.000, 1727696396621
186.960, 186.880, 186.960, 186.880, 325.000, 1727696456621
186.880, 186.960, 186.960, 186.880, 165.000, 1727696516621
187.000, 186.950, 187.090, 186.890, 1041.000, 1727696576622
186.970, 186.950, 187.030, 186.950, 406.000, 1727696636622
186.900, 186.900, 186.900, 186.900, 75.000, 1727696696621
186.950, 186.870, 186.950, 186.870, 697.000, 1727696756621
186.860, 186.810, 186.860, 186.770, 1258.000, 1727696816621
186.800, 186.760, 186.820, 186.720, 329.000, 1727696876621
186.750, 186.700, 186.750, 186.220, 11892.000, 1727696936621
186.530, 186.610, 186.640, 186.420, 652.000, 1727696996621
186.540, 186.400, 186.540, 186.400, 449.000, 1727697056621
186.410, 186.400, 186.410, 186.370, 449.000, 1727697116621
186.430, 186.500, 186.530, 186.400, 3624.000, 1727697176621
186.460, 186.490, 186.500, 186.410, 1055.000, 1727697236621
186.490, 186.410, 186.490, 186.360, 227.000, 1727697296621
186.390, 186.080, 186.400, 186.080, 3229.000, 1727697356621
186.140, 186.290, 186.300, 186.080, 4027.000, 1727697416621
186.260, 186.400, 186.400, 186.260, 1675.000, 1727697476621
186.310, 186.310, 186.310, 186.310, 2.000, 1727697536621
186.340, 186.330, 186.450, 186.330, 2011.000, 1727697596621
186.390, 186.295, 188.449, 186.010, 73750.000, 1727697656621
186.350, 186.255, 187.880, 186.125, 1750.000, 1727697716621
186.255, 186.220, 186.370, 186.201, 2340.000, 1727697776621
187.970, 186.200, 187.970, 186.150, 4502.000, 1727697836621
186.200, 186.170, 186.400, 186.160, 1020.000, 1727697896621
186.165, 186.204, 186.204, 186.150, 2147.000, 1727697956621
186.185, 186.430, 186.430, 186.160, 1140.000, 1727698016621
186.400, 186.450, 186.580, 186.390, 1521.000, 1727698076621
186.460, 186.599, 186.600, 186.460, 1134.000, 1727698136621
186.590, 186.760, 186.760, 186.540, 759.000, 1727698196622
186.750, 186.728, 186.760, 186.690, 889.000, 1727698256622
186.750, 186.525, 186.750, 186.458, 3652.000, 1727698316621
186.520, 186.525, 186.600, 186.500, 431.000, 1727698376621
186.540, 186.540, 186.620, 186.480, 2335.000, 1727698436621
186.535, 186.480, 186.620, 186.480, 203.000, 1727698496621
186.480, 186.500, 186.620, 186.450, 2044.000, 1727698556621
186.450, 186.545, 186.600, 186.440, 546.000, 1727698616621
186.600, 186.470, 186.600, 186.470, 3787.000, 1727698676621
186.420, 186.465, 186.510, 186.420, 1026.000, 1727698736621
186.465, 186.510, 186.510, 186.420, 2270.000, 1727698796621
186.500, 186.450, 186.510, 186.300, 3591.000, 1727698856621
186.440, 186.450, 186.480, 186.395, 1786.000, 1727698916621
186.400, 186.430, 186.480, 186.300, 564.000, 1727698976621
186.430, 186.490, 186.500, 186.400, 322.000, 1727699036621
186.490, 186.570, 186.600, 186.430, 102.000, 1727699096621
186.500, 186.590, 186.600, 186.500, 342.000, 1727699156621
186.550, 186.570, 186.600, 186.490, 302.000, 1727699216621
186.600, 186.590, 186.600, 186.510, 1417.000, 1727699276621
186.555, 186.600, 186.600, 186.510, 85.000, 1727699336621
186.543, 186.560, 186.600, 186.520, 2085.000, 1727699396621
186.560, 186.590, 186.600, 186.560, 1053.000, 1727699456621
186.590, 186.570, 186.600, 186.510, 1224.000, 1727699516621
186.596, 186.590, 186.600, 186.560, 1069.000, 1727699576621
186.590, 186.570, 186.620, 186.560, 429.000, 1727699636621
186.615, 186.540, 186.620, 186.520, 1086.000, 1727699696621
186.580, 186.600, 186.670, 186.520, 2332.000, 1727699756621
186.625, 186.775, 186.890, 186.520, 1321.000, 1727699816621
186.760, 186.812, 186.890, 186.690, 4548.000, 1727699876621
186.660, 186.570, 186.800, 186.550, 5717.000, 1727699936621
186.740, 186.625, 186.740, 186.530, 827.000, 1727699996621
186.625, 186.595, 186.650, 186.550, 2572.000, 1727700056621
186.580, 186.740, 186.800, 186.580, 794.000, 1727700116621
186.800, 186.850, 186.890, 186.700, 3982.000, 1727700176621
186.900, 186.900, 186.900, 186.820, 604.000, 1727700236621
186.865, 186.800, 187.970, 186.630, 741932.000, 1727700296621
186.800, 186.760, 186.830, 186.700, 583.000, 1727700356621
186.800, 186.730, 186.800, 186.730, 114.000, 1727700416621
186.775, 186.900, 186.900, 186.775, 5726.000, 1727700476621
186.890, 186.990, 186.990, 186.830, 5322.000, 1727700536621
186.980, 186.989, 186.990, 186.924, 1004.000, 1727700596621
186.988, 187.010, 187.050, 186.950, 3398.000, 1727700656621
187.030, 187.150, 187.160, 187.010, 856.000, 1727700716621
187.110, 187.015, 187.146, 187.000, 2761.000, 1727700776622
187.060, 187.070, 187.091, 187.000, 1243.000, 1727700836622
187.012, 187.050, 187.080, 186.900, 2659.000, 1727700896622
187.000, 186.920, 187.050, 186.920, 247.000, 1727700956622
186.910, 186.925, 186.980, 186.870, 77.000, 1727701016621
186.970, 186.950, 187.000, 186.900, 901.000, 1727701076621
186.900, 187.000, 187.000, 186.900, 485.000, 1727701136621
186.965, 187.010, 187.080, 186.800, 4593.000, 1727701196621
186.910, 186.900, 186.990, 186.800, 260.000, 1727701256621
186.890, 186.770, 186.980, 186.680, 3387.000, 1727701316621
186.660, 186.740, 186.780, 186.660, 21703.000, 1727701376621
186.720, 186.640, 186.800, 186.510, 51135.000, 1727701436621
186.630, 186.720, 186.740, 186.630, 31916.000, 1727701496621
186.720, 186.800, 186.860, 186.720, 2024.000, 1727701556621
186.800, 186.800, 186.820, 186.780, 535.000, 1727701616621
186.800, 186.950, 186.960, 186.800, 1825.000, 1727701676621
186.950, 186.890, 186.950, 186.870, 1003.000, 1727701736621
186.890, 186.990, 186.990, 186.850, 1124.000, 1727701796621
187.000, 187.025, 187.080, 186.870, 7013.000, 1727701856621
187.025, 187.200, 187.200, 187.000, 6546.000, 1727701916621
187.200, 187.280, 187.280, 187.000, 3118.000, 1727701976621
187.280, 187.230, 187.450, 186.950, 7209.000, 1727702036621
187.130, 187.100, 187.220, 186.950, 1346.000, 1727702096621
187.030, 187.230, 187.250, 187.000, 1559.000, 1727702156621
187.210, 187.090, 187.250, 187.010, 1162.000, 1727702216621
187.190, 186.953, 193.960, 186.953, 1137.000, 1727702276621
187.110, 186.910, 187.110, 186.800, 482.000, 1727702336621
186.910, 186.585, 186.990, 186.585, 5676.000, 1727702396621
186.656, 186.620, 186.930, 186.570, 30819.000, 1727702456621
186.620, 186.660, 186.710, 186.610, 3545.000, 1727702516621
