Symbol, Moving Average, Total Volume, Creation Time
AMZN, 0.000, 0, 1727681756622
AMZN, 0.000, 0, 1727681816622
AMZN, 0.000, 0, 1727681876621
AMZN, 0.000, 0, 1727681936621
AMZN, 0.000, 0, 1727681996621
AMZN, 0.000, 0, 1727682056622
AMZN, 0.000, 0, 1727682116622
AMZN, 0.000, 0, 1727682176622
AMZN, 0.000, 0, 1727682236622
AMZN, 0.000, 0, 1727682296622
AMZN, 0.000, 0, 1727682356622
AMZN, 0.000, 0, 1727682416622
AMZN, 0.000, 0, 1727682476622
AMZN, 0.000, 0, 1727682536623
AMZN, 0.000, 0, 1727682596622
AMZN, 0.000, 0, 1727682656622
AMZN, 0.000, 0, 1727682716622
AMZN, 0.000, 0, 1727682776622
AMZN, 0.000, 0, 1727682836622
AMZN, 0.000, 0, 1727682896622
AMZN, 0.000, 0, 1727682956621
AMZN, 0.000, 0, 1727683016622
AMZN, 0.000, 0, 1727683076622
AMZN, 0.000, 0, 1727683136622
AMZN, 0.000, 0, 1727683196622
AMZN, 187.469, 10632, 1727683256622
AMZN, 187.500, 14269, 1727683316622
AMZN, 187.511, 14689, 1727683376622
AMZN, 187.510, 16380, 1727683436622
AMZN, 187.496, 17950, 1727683496622
AMZN, 187.483, 18301, 1727683556622
AMZN, 187.476, 18626, 1727683616622
AMZN, 187.465, 19117, 1727683676622
AMZN, 187.459, 19728, 1727683736622
AMZN, 187.459, 19729, 1727683796622
AMZN, 187.460, 20179, 1727683856622
AMZN, 187.460, 20266, 1727683916622
AMZN, 187.460, 20271, 1727683976622
AMZN, 187.460, 20287, 1727684036622
AMZN, 187.462, 20538, 1727684096622
AMZN, 187.457, 9914, 1727684156622
AMZN, 187.419, 6965, 1727684216622
AMZN, 187.392, 7507, 1727684276622
AMZN, 187.376, 6017, 1727684336622
AMZN, 187.383, 5133, 1727684396622
AMZN, 187.410, 4971, 1727684456622
AMZN, 187.436, 5162, 1727684516622
AMZN, 187.470, 4776, 1727684576622
AMZN, 187.495, 4187, 1727684636622
AMZN, 187.498, 4257, 1727684696622
AMZN, 187.507, 4432, 1727684756622
AMZN, 187.517, 5165, 1727684816622
AMZN, 187.525, 5621, 1727684876622
AMZN, 187.535, 5775, 1727684936622
AMZN, 187.546, 6092, 1727684996622
AMZN, 187.549, 6085, 1727685056622
AMZN, 187.569, 5679, 1727685116622
AMZN, 187.590, 4831, 1727685176622
AMZN, 187.593, 4647, 1727685236622
AMZN, 187.603, 4430, 1727685296622
AMZN, 187.602, 4261, 1727685356622
AMZN, 187.601, 4035, 1727685416622
AMZN, 187.595, 4734, 1727685476622
AMZN, 187.596, 4773, 1727685536622
AMZN, 187.598, 4711, 1727685596624
AMZN, 187.597, 4126, 1727685656623
AMZN, 187.592, 3306, 1727685716622
AMZN, 187.585, 2910, 1727685776622
AMZN, 187.575, 2742, 1727685836622
AMZN, 187.559, 2199, 1727685896622
AMZN, 187.558, 2272, 1727685956622
AMZN, 187.537, 1995, 1727686016626
AMZN, 187.542, 1906, 1727686076622
AMZN, 187.536, 2085, 1727686136622
AMZN, 187.529, 1919, 1727686196622
AMZN, 187.531, 2058, 1727686256622
AMZN, 187.533, 1817, 1727686316622
AMZN, 187.528, 1081, 1727686376622
AMZN, 187.527, 1031, 1727686436622
AMZN, 187.528, 1203, 1727686496622
AMZN, 187.527, 1163, 1727686556622
AMZN, 187.528, 1274, 1727686616622
AMZN, 187.527, 1210, 1727686676622
AMZN, 187.529, 1617, 1727686736622
AMZN, 187.527, 1790, 1727686796623
AMZN, 187.524, 1717, 1727686856623
AMZN, 187.525, 1896, 1727686916622
AMZN, 187.524, 1871, 1727686976623
AMZN, 187.526, 1714, 1727687036622
AMZN, 187.529, 1659, 1727687096623
AMZN, 187.530, 1760, 1727687156622
AMZN, 187.529, 1711, 1727687216622
AMZN, 187.534, 1679, 1727687276622
AMZN, 187.535, 1670, 1727687336622
AMZN, 187.535, 1495, 1727687396622
AMZN, 187.534, 1531, 1727687456622
AMZN, 187.532, 1470, 1727687516622
AMZN, 187.520, 2198, 1727687576622
AMZN, 187.512, 2389, 1727687636626
AMZN, 187.510, 2225, 1727687696622
AMZN, 187.508, 2228, 1727687756623
AMZN, 187.503, 2107, 1727687816623
AMZN, 187.475, 2578, 1727687876622
AMZN, 187.463, 2897, 1727687936625
AMZN, 187.455, 2700, 1727687996622
AMZN, 187.432, 2576, 1727688056623
AMZN, 187.424, 2597, 1727688116624
AMZN, 187.412, 2791, 1727688176623
AMZN, 187.404, 3374, 1727688236623
AMZN, 187.400, 3843, 1727688296622
AMZN, 187.407, 4110, 1727688356622
AMZN, 187.408, 4220, 1727688416622
AMZN, 187.400, 3492, 1727688476623
AMZN, 187.399, 2893, 1727688536622
AMZN, 187.396, 2859, 1727688596622
AMZN, 187.396, 2856, 1727688656622
AMZN, 187.437, 3339, 1727688716625
AMZN, 187.447, 2868, 1727688776623
AMZN, 187.457, 2510, 1727688836622
AMZN, 187.467, 2493, 1727688896622
AMZN, 187.496, 3039, 1727688956625
AMZN, 187.511, 3028, 1727689016622
AMZN, 187.523, 2920, 1727689076622
AMZN, 187.540, 2412, 1727689136622
AMZN, 187.556, 1971, 1727689196625
AMZN, 187.566, 1668, 1727689256623
AMZN, 187.572, 1539, 1727689316622
AMZN, 187.574, 1778, 1727689376622
AMZN, 187.569, 1949, 1727689436622
AMZN, 187.564, 2044, 1727689496622
AMZN, 187.560, 2158, 1727689556625
AMZN, 187.549, 1617, 1727689616622
AMZN, 187.548, 1630, 1727689676622
AMZN, 187.546, 1631, 1727689736622
AMZN, 187.543, 1597, 1727689796622
AMZN, 187.536, 1185, 1727689856622
AMZN, 187.533, 1350, 1727689916622
AMZN, 187.529, 1248, 1727689976622
AMZN, 187.524, 1201, 1727690036622
AMZN, 187.519, 1274, 1727690096622
AMZN, 187.518, 1379, 1727690156623
AMZN, 187.510, 1352, 1727690216622
AMZN, 187.513, 2238, 1727690276623
AMZN, 187.509, 2292, 1727690336622
AMZN, 187.510, 2198, 1727690396622
AMZN, 187.513, 2084, 1727690456622
AMZN, 187.514, 2090, 1727690516622
AMZN, 187.519, 2259, 1727690576623
AMZN, 187.521, 2302, 1727690636622
AMZN, 187.533, 2337, 1727690696622
AMZN, 187.539, 2152, 1727690756623
AMZN, 187.544, 1982, 1727690816622
AMZN, 187.548, 1963, 1727690876622
AMZN, 187.553, 1933, 1727690936622
AMZN, 187.565, 1991, 1727690996625
AMZN, 187.579, 2003, 1727691056622
AMZN, 187.582, 2001, 1727691116625
AMZN, 187.610, 1289, 1727691176623
AMZN, 187.633, 1063, 1727691236622
AMZN, 187.637, 1066, 1727691296622
AMZN, 187.639, 1065, 1727691356622
AMZN, 187.661, 1087, 1727691416623
AMZN, 187.699, 1023, 1727691476622
AMZN, 187.701, 979, 1727691536625
AMZN, 187.706, 1119, 1727691596622
AMZN, 187.708, 1034, 1727691656622
AMZN, 187.708, 1029, 1727691716622
AMZN, 187.715, 1030, 1727691776622
AMZN, 187.716, 1044, 1727691836624
AMZN, 187.710, 1888, 1727691896623
AMZN, 187.724, 1924, 1727691956622
AMZN, 187.605, 7118, 1727692016622
AMZN, 187.604, 10020, 1727692076622
AMZN, 187.604, 10020, 1727692136622
AMZN, 187.602, 10042, 1727692196622
AMZN, 187.598, 10213, 1727692256622
AMZN, 187.589, 10217, 1727692316626
AMZN, 187.577, 10128, 1727692376622
AMZN, 187.570, 10489, 1727692436622
AMZN, 187.563, 10337, 1727692496622
AMZN, 187.541, 11259, 1727692556622
AMZN, 187.539, 11490, 1727692616622
AMZN, 187.536, 11488, 1727692676622
AMZN, 187.529, 11492, 1727692736622
AMZN, 187.517, 10487, 1727692796626
AMZN, 187.504, 10434, 1727692856626
AMZN, 187.481, 5241, 1727692916622
AMZN, 187.427, 1929, 1727692976622
AMZN, 187.427, 2131, 1727693036622
AMZN, 187.434, 2317, 1727693096622
AMZN, 187.433, 2149, 1727693156622
AMZN, 187.429, 2115, 1727693216622
AMZN, 187.426, 2088, 1727693276622
AMZN, 187.419, 1831, 1727693336622
AMZN, 187.424, 1878, 1727693396622
AMZN, 187.452, 1030, 1727693456622
AMZN, 187.446, 868, 1727693516622
AMZN, 187.445, 1289, 1727693576622
AMZN, 187.455, 1272, 1727693636622
AMZN, 187.458, 1268, 1727693696622
