Open, Close, Max, Min, Volume, Creation Time
2641.360, 2640.050, 2641.370, 2640.040, 162.391, 1727681756621
2640.050, 2638.900, 2640.350, 2638.890, 51.806, 1727681816621
2638.900, 2637.340, 2639.260, 2637.340, 74.832, 1727681876621
2637.390, 2636.700, 2637.500, 2636.680, 36.591, 1727681936621
2636.700, 2635.910, 2636.940, 2635.490, 61.012, 1727681996621
2635.910, 2637.390, 2637.400, 2635.830, 48.988, 1727682056621
2637.400, 2637.500, 2637.750, 2636.490, 88.190, 1727682116621
2637.500, 2636.720, 2637.600, 2636.720, 26.250, 1727682176621
2636.730, 2637.070, 2637.140, 2636.490, 24.332, 1727682236621
2637.070, 2635.500, 2637.070, 2635.490, 124.668, 1727682296621
2635.500, 2636.840, 2636.850, 2635.490, 68.113, 1727682356621
2636.850, 2636.280, 2636.850, 2636.130, 45.939, 1727682416621
2636.280, 2636.280, 2636.700, 2636.270, 59.817, 1727682476621
2636.290, 2638.490, 2638.490, 2636.290, 71.667, 1727682536622
2638.490, 2638.370, 2638.920, 2638.370, 38.173, 1727682596621
2638.370, 2637.100, 2638.380, 2637.100, 40.235, 1727682656622
2637.110, 2638.380, 2638.380, 2637.100, 42.406, 1727682716622
2638.380, 2638.380, 2638.380, 2638.370, 17.272, 1727682776621
2638.370, 2637.810, 2638.380, 2637.800, 32.578, 1727682836621
2637.810, 2638.110, 2638.110, 2637.800, 57.322, 1727682896621
2638.110, 2638.450, 2638.820, 2637.990, 79.327, 1727682956621
2638.450, 2639.640, 2640.000, 2638.450, 59.035, 1727683016621
2639.650, 2639.050, 2639.650, 2638.900, 54.767, 1727683076621
2639.060, 2639.320, 2639.630, 2638.810, 67.542, 1727683136621
2639.320, 2637.810, 2639.320, 2637.550, 83.288, 1727683196621
2637.810, 2637.450, 2638.760, 2637.450, 102.805, 1727683256621
2637.450, 2636.190, 2637.700, 2636.190, 93.212, 1727683316621
2636.190, 2638.180, 2638.320, 2636.070, 88.981, 1727683376621
2638.190, 2637.770, 2638.950, 2637.770, 60.652, 1727683436621
2637.770, 2636.080, 2637.780, 2635.600, 60.932, 1727683496622
2636.080, 2636.620, 2636.960, 2635.610, 103.862, 1727683556621
2636.620, 2637.770, 2637.920, 2636.370, 62.700, 1727683616622
2637.780, 2636.490, 2637.780, 2636.490, 48.967, 1727683676621
2636.300, 2635.070, 2636.490, 2635.000, 100.588, 1727683736621
2635.060, 2634.500, 2635.120, 2634.490, 105.216, 1727683796621
2634.490, 2633.540, 2634.500, 2633.150, 129.022, 1727683856622
2633.550, 2632.640, 2633.550, 2632.060, 150.725, 1727683916621
2632.640, 2633.680, 2634.390, 2632.510, 261.652, 1727683976621
2633.680, 2633.610, 2633.690, 2633.130, 61.299, 1727684036622
2633.620, 2633.620, 2633.970, 2633.610, 47.766, 1727684096621
2633.630, 2632.690, 2633.630, 2632.460, 117.454, 1727684156621
2632.680, 2632.330, 2633.380, 2632.250, 84.829, 1727684216621
2632.340, 2633.100, 2633.490, 2632.330, 55.078, 1727684276622
2633.110, 2631.990, 2633.110, 2631.990, 56.041, 1727684336622
2632.000, 2631.430, 2632.000, 2631.430, 38.173, 1727684396622
2631.440, 2630.590, 2631.440, 2630.210, 263.424, 1727684456621
2630.600, 2629.700, 2631.930, 2629.300, 225.404, 1727684516621
2629.700, 2628.340, 2629.700, 2626.510, 327.203, 1727684576622
2628.350, 2628.020, 2629.000, 2627.280, 234.201, 1727684636621
2628.010, 2627.370, 2628.210, 2625.310, 448.501, 1727684696621
2627.360, 2628.720, 2629.420, 2626.510, 156.228, 1727684756621
2628.730, 2631.280, 2631.280, 2628.720, 135.365, 1727684816621
2631.280, 2629.810, 2631.280, 2629.490, 45.466, 1727684876621
2629.810, 2629.470, 2629.820, 2628.010, 113.416, 1727684936621
2629.460, 2632.700, 2634.490, 2628.010, 903.177, 1727684996621
2632.710, 2634.200, 2635.310, 2631.230, 381.738, 1727685056621
2634.210, 2636.680, 2637.260, 2633.490, 783.472, 1727685116621
2636.680, 2636.610, 2639.390, 2636.120, 565.769, 1727685176621
2636.610, 2640.040, 2641.140, 2636.600, 693.246, 1727685236621
2640.030, 2641.790, 2641.810, 2638.080, 414.996, 1727685296621
2641.790, 2639.350, 2641.800, 2639.350, 268.337, 1727685356622
2639.360, 2638.670, 2640.490, 2638.090, 380.640, 1727685416621
2638.670, 2637.500, 2639.400, 2637.170, 95.981, 1727685476621
2637.490, 2636.180, 2637.860, 2636.180, 95.104, 1727685536622
2636.190, 2636.460, 2636.470, 2633.250, 509.242, 1727685596622
2636.450, 2637.400, 2637.400, 2633.750, 364.943, 1727685656622
2637.400, 2638.900, 2639.400, 2637.080, 201.232, 1727685716621
2638.900, 2639.700, 2639.910, 2637.490, 130.194, 1727685776621
2639.710, 2638.000, 2639.710, 2637.990, 271.468, 1727685836621
2638.000, 2638.270, 2639.000, 2637.990, 140.014, 1727685896621
2638.280, 2637.370, 2638.280, 2636.490, 95.559, 1727685956621
2637.380, 2636.930, 2637.410, 2635.530, 299.741, 1727686016623
2636.930, 2633.220, 2636.940, 2633.220, 118.920, 1727686076621
2633.220, 2635.330, 2636.020, 2633.220, 122.765, 1727686136622
2635.330, 2640.190, 2640.500, 2635.330, 222.884, 1727686196622
2640.190, 2641.930, 2642.200, 2640.140, 325.013, 1727686256622
2641.940, 2640.210, 2642.200, 2640.110, 222.313, 1727686316622
2640.210, 2639.980, 2640.450, 2639.540, 161.376, 1727686376622
2639.990, 2642.700, 2643.080, 2639.980, 287.087, 1727686436622
2642.710, 2641.510, 2642.710, 2641.510, 333.759, 1727686496622
2641.510, 2642.830, 2642.830, 2640.990, 296.035, 1727686556622
2642.820, 2642.500, 2642.830, 2641.990, 154.949, 1727686616621
2642.500, 2641.450, 2642.500, 2640.790, 90.500, 1727686676621
2641.450, 2641.560, 2641.560, 2640.090, 157.977, 1727686736622
2641.550, 2641.320, 2641.990, 2640.590, 493.887, 1727686796622
2641.330, 2640.180, 2641.330, 2640.180, 43.658, 1727686856623
2640.190, 2640.500, 2642.250, 2640.050, 260.720, 1727686916621
2640.490, 2638.120, 2640.500, 2638.110, 307.863, 1727686976622
2638.120, 2635.040, 2638.120, 2634.610, 151.207, 1727687036621
2635.030, 2637.490, 2638.000, 2634.500, 197.865, 1727687096622
2637.500, 2638.990, 2638.990, 2636.670, 141.760, 1727687156621
2638.990, 2637.530, 2638.990, 2637.530, 62.634, 1727687216621
2637.530, 2637.810, 2638.200, 2634.870, 250.424, 1727687276621
2637.780, 2636.300, 2637.780, 2636.300, 79.675, 1727687336621
2636.300, 2636.400, 2636.860, 2636.000, 93.015, 1727687396622
2636.400, 2637.500, 2637.500, 2636.400, 55.001, 1727687456621
2637.500, 2634.870, 2637.500, 2634.490, 77.618, 1727687516622
2634.870, 2632.870, 2635.490, 2632.000, 93.372, 1727687576622
2632.860, 2632.540, 2633.000, 2632.030, 76.369, 1727687636623
2632.540, 2633.790, 2633.800, 2631.510, 162.377, 1727687696621
2633.800, 2632.140, 2633.800, 2632.140, 86.018, 1727687756622
2632.150, 2625.270, 2632.150, 2625.000, 1238.208, 1727687816623
2625.030, 2632.980, 2632.990, 2624.850, 685.080, 1727687876622
2632.970, 2636.530, 2638.070, 2632.970, 358.649, 1727687936622
2636.530, 2637.530, 2639.390, 2636.010, 315.646, 1727687996621
2637.520, 2635.010, 2638.050, 2635.000, 225.320, 1727688056623
2635.010, 2634.680, 2635.810, 2633.990, 186.777, 1727688116622
2634.680, 2633.380, 2634.680, 2632.840, 109.354, 1727688176623
2633.370, 2634.000, 2634.210, 2633.270, 108.968, 1727688236622
2634.000, 2635.400, 2635.400, 2633.620, 236.577, 1727688296621
2635.400, 2636.490, 2637.270, 2635.390, 146.306, 1727688356622
2636.500, 2636.970, 2637.000, 2636.280, 128.177, 1727688416621
2636.970, 2636.380, 2636.970, 2636.380, 183.061, 1727688476622
2636.380, 2636.180, 2636.480, 2635.900, 44.040, 1727688536621
2636.180, 2634.360, 2636.180, 2634.360, 70.248, 1727688596621
2634.350, 2635.610, 2635.900, 2634.350, 77.718, 1727688656622
2635.600, 2634.730, 2635.680, 2634.720, 175.449, 1727688716622
2634.720, 2632.660, 2634.730, 2632.660, 81.008, 1727688776622
2632.660, 2629.160, 2632.680, 2628.580, 438.835, 1727688836621
2629.160, 2628.980, 2629.900, 2628.980, 110.805, 1727688896621
2628.990, 2630.970, 2631.070, 2628.510, 202.895, 1727688956623
2630.970, 2629.400, 2631.480, 2627.490, 147.517, 1727689016621
2629.400, 2628.000, 2629.400, 2627.990, 124.780, 1727689076621
2628.010, 2626.340, 2628.990, 2626.340, 259.957, 1727689136621
2626.340, 2626.010, 2626.730, 2625.990, 51.444, 1727689196622
2626.010, 2625.310, 2626.150, 2625.310, 202.782, 1727689256622
2625.320, 2624.860, 2625.500, 2624.830, 88.297, 1727689316622
2624.850, 2625.830, 2625.830, 2624.680, 461.844, 1727689376621
2625.840, 2622.770, 2625.840, 2621.390, 453.163, 1727689436621
2622.770, 2624.040, 2625.260, 2622.700, 278.514, 1727689496622
2624.200, 2624.010, 2625.000, 2623.710, 132.784, 1727689556623
2624.010, 2620.000, 2624.020, 2618.670, 441.977, 1727689616622
2620.000, 2616.770, 2620.200, 2616.490, 784.306, 1727689676621
2616.780, 2617.990, 2618.840, 2616.000, 1088.610, 1727689736622
2617.990, 2617.600, 2619.430, 2617.570, 214.353, 1727689796621
2617.600, 2615.130, 2617.610, 2613.620, 601.964, 1727689856622
2615.130, 2614.790, 2616.600, 2614.600, 1269.629, 1727689916621
2614.780, 2616.500, 2616.600, 2610.980, 1843.656, 1727689976621
2616.600, 2615.010, 2617.650, 2614.570, 551.263, 1727690036622
2615.010, 2617.000, 2617.850, 2614.010, 260.006, 1727690096622
2617.000, 2614.990, 2617.010, 2614.250, 178.771, 1727690156622
2615.000, 2614.080, 2615.410, 2613.850, 144.694, 1727690216622
2614.080, 2613.890, 2614.770, 2612.100, 447.488, 1727690276622
2613.890, 2612.020, 2614.000, 2611.110, 239.217, 1727690336621
2612.020, 2608.390, 2612.020, 2608.310, 468.055, 1727690396622
2608.150, 2607.150, 2609.870, 2604.870, 1487.007, 1727690456621
2607.150, 2612.360, 2613.530, 2605.000, 570.690, 1727690516622
2612.350, 2611.140, 2613.240, 2610.990, 345.187, 1727690576622
2611.150, 2610.340, 2612.000, 2609.080, 207.723, 1727690636622
2610.340, 2613.150, 2614.860, 2610.000, 114.451, 1727690696621
2613.150, 2612.300, 2614.800, 2611.800, 178.871, 1727690756622
2612.290, 2610.200, 2612.370, 2609.690, 93.959, 1727690816621
2610.200, 2607.010, 2610.200, 2607.000, 156.600, 1727690876621
2607.000, 2604.170, 2607.000, 2603.570, 384.381, 1727690936622
2604.160, 2603.910, 2605.660, 2602.680, 515.909, 1727690996623
2603.910, 2607.130, 2608.470, 2603.850, 364.783, 1727691056621
2607.130, 2604.360, 2607.390, 2602.700, 361.657, 1727691116623
2604.360, 2604.450, 2606.730, 2602.330, 1576.036, 1727691176622
2604.450, 2596.220, 2605.850, 2595.600, 2877.637, 1727691236621
2596.220, 2595.490, 2598.000, 2592.420, 1098.344, 1727691296621
2595.500, 2596.320, 2596.330, 2592.800, 563.462, 1727691356622
2596.330, 2596.800, 2599.900, 2596.330, 462.954, 1727691416623
2597.880, 2602.620, 2603.460, 2595.770, 1124.066, 1727691476621
2602.630, 2605.320, 2605.330, 2602.070, 373.986, 1727691536623
2605.330, 2603.300, 2605.330, 2602.000, 281.713, 1727691596621
2603.290, 2600.560, 2603.460, 2599.990, 339.478, 1727691656621
2600.560, 2601.000, 2602.010, 2598.590, 200.244, 1727691716621
2600.990, 2603.460, 2603.800, 2600.220, 272.607, 1727691776621
2603.460, 2603.790, 2603.880, 2602.030, 141.346, 1727691836622
2603.790, 2605.420, 2608.330, 2603.790, 641.140, 1727691896623
2605.410, 2603.690, 2605.500, 2603.680, 226.022, 1727691956621
2603.690, 2605.650, 2605.660, 2602.540, 441.007, 1727692016621
2605.650, 2605.210, 2605.780, 2604.000, 244.549, 1727692076622
2605.210, 2608.000, 2608.000, 2604.830, 184.542, 1727692136622
2608.060, 2605.540, 2608.070, 2605.530, 201.312, 1727692196622
2605.540, 2602.100, 2606.500, 2601.760, 512.663, 1727692256621
2602.090, 2603.160, 2603.160, 2601.060, 193.774, 1727692316623
2603.160, 2600.780, 2603.160, 2600.490, 183.928, 1727692376621
2600.770, 2600.000, 2601.000, 2599.120, 423.376, 1727692436622
2600.000, 2597.830, 2600.650, 2596.610, 213.376, 1727692496621
2597.830, 2600.390, 2602.200, 2597.830, 516.788, 1727692556622
2600.390, 2599.170, 2600.750, 2598.570, 202.598, 1727692616622
2599.160, 2597.100, 2599.310, 2597.100, 206.528, 1727692676621
2597.110, 2596.410, 2599.420, 2596.400, 226.123, 1727692736622
2596.600, 2599.000, 2599.000, 2596.410, 146.904, 1727692796623
2598.990, 2599.500, 2599.500, 2598.000, 169.581, 1727692856623
2599.500, 2601.480, 2601.480, 2599.060, 197.869, 1727692916622
2601.480, 2601.600, 2602.360, 2601.310, 157.966, 1727692976621
2601.600, 2600.840, 2601.610, 2600.340, 153.789, 1727693036622
2600.840, 2601.310, 2601.420, 2600.160, 81.867, 1727693096621
2601.310, 2599.150, 2601.320, 2599.150, 286.650, 1727693156622
2599.160, 2603.000, 2603.000, 2599.150, 123.744, 1727693216621
2603.000, 2603.590, 2604.030, 2602.520, 219.191, 1727693276621
2603.600, 2604.490, 2604.500, 2603.490, 300.155, 1727693336621
2604.490, 2605.320, 2605.760, 2604.430, 79.925, 1727693396622
2605.320, 2605.530, 2606.370, 2605.130, 138.240, 1727693456622
2605.530, 2604.770, 2605.680, 2604.550, 108.044, 1727693516622
2604.770, 2602.780, 2605.120, 2602.600, 76.867, 1727693576621
2602.790, 2602.000, 2603.290, 2601.990, 195.962, 1727693636622
2601.990, 2602.020, 2602.470, 2601.490, 121.676, 1727693696621
2602.030, 2602.970, 2604.670, 2602.000, 400.247, 1727693756621
2602.970, 2604.580, 2604.800, 2602.960, 119.921, 1727693816621
2604.580, 2605.370, 2605.500, 2604.150, 145.067, 1727693876621
2605.370, 2605.010, 2605.980, 2605.010, 67.105, 1727693936622
2605.020, 2605.760, 2605.760, 2604.820, 55.361, 1727693996621
2605.750, 2604.610, 2605.760, 2604.550, 75.187, 1727694056621
2604.610, 2606.420, 2606.420, 2603.200, 137.979, 1727694116621
2606.410, 2603.790, 2606.940, 2603.300, 87.798, 1727694176622
2603.790, 2604.440, 2605.760, 2603.700, 152.263, 1727694236622
2604.450, 2604.730, 2604.990, 2604.300, 65.351, 1727694296622
2604.740, 2601.700, 2606.940, 2601.690, 138.658, 1727694356622
2601.700, 2604.660, 2604.660, 2601.500, 176.017, 1727694416621
2604.660, 2606.570, 2606.730, 2603.490, 118.634, 1727694476622
2606.570, 2607.170, 2607.180, 2605.790, 95.461, 1727694536621
2607.170, 2610.330, 2611.190, 2607.170, 336.638, 1727694596621
2610.320, 2610.460, 2611.000, 2609.600, 132.444, 1727694656622
2610.400, 2613.050, 2613.050, 2610.070, 122.459, 1727694716622
2613.060, 2611.740, 2614.600, 2611.620, 352.928, 1727694776622
2611.750, 2613.660, 2614.340, 2610.570, 209.001, 1727694836622
2613.660, 2613.410, 2614.190, 2613.010, 106.307, 1727694896622
2613.420, 2611.730, 2614.000, 2611.520, 66.015, 1727694956621
2611.740, 2613.490, 2613.930, 2611.740, 123.236, 1727695016621
2613.500, 2612.990, 2613.720, 2612.990, 75.711, 1727695076621
2612.990, 2613.900, 2614.000, 2612.490, 127.507, 1727695136621
2613.890, 2614.000, 2614.290, 2612.890, 181.236, 1727695196621
2614.000, 2612.610, 2614.410, 2612.610, 61.105, 1727695256622
2612.620, 2612.780, 2612.930, 2612.240, 70.894, 1727695316622
2612.790, 2616.720, 2617.080, 2612.670, 149.962, 1727695376622
2616.720, 2616.000, 2616.730, 2611.580, 1388.761, 1727695436622
2616.000, 2617.300, 2617.630, 2616.000, 153.361, 1727695496621
2617.300, 2618.450, 2618.500, 2617.300, 181.308, 1727695556622
