Symbol, Moving Average, Total Volume, Creation Time
BINANCE:E, 2640.906, 162, 1727681756622
BINANCE:E, 2640.224, 213, 1727681816622
BINANCE:E, 2639.105, 287, 1727681876622
BINANCE:E, 2638.353, 323, 1727681936622
BINANCE:E, 2637.880, 384, 1727681996622
BINANCE:E, 2637.685, 432, 1727682056622
BINANCE:E, 2637.545, 520, 1727682116622
BINANCE:E, 2637.535, 546, 1727682176622
BINANCE:E, 2637.451, 570, 1727682236622
BINANCE:E, 2637.353, 694, 1727682296622
BINANCE:E, 2637.263, 762, 1727682356622
BINANCE:E, 2637.232, 807, 1727682416622
BINANCE:E, 2637.198, 866, 1727682476622
BINANCE:E, 2637.212, 937, 1727682536623
BINANCE:E, 2637.262, 975, 1727682596622
BINANCE:E, 2637.188, 853, 1727682656622
BINANCE:E, 2637.115, 844, 1727682716622
BINANCE:E, 2636.987, 787, 1727682776622
BINANCE:E, 2637.030, 783, 1727682836622
BINANCE:E, 2637.199, 779, 1727682896622
BINANCE:E, 2637.330, 810, 1727682956622
BINANCE:E, 2637.506, 781, 1727683016622
BINANCE:E, 2637.688, 809, 1727683076622
BINANCE:E, 2637.916, 852, 1727683136622
BINANCE:E, 2638.051, 811, 1727683196622
BINANCE:E, 2638.178, 845, 1727683256622
BINANCE:E, 2638.165, 893, 1727683316622
BINANCE:E, 2638.148, 922, 1727683376622
BINANCE:E, 2638.235, 911, 1727683436622
BINANCE:E, 2638.116, 933, 1727683496622
BINANCE:E, 2637.983, 996, 1727683556622
BINANCE:E, 2637.941, 1016, 1727683616622
BINANCE:E, 2637.884, 1047, 1727683676622
BINANCE:E, 2637.760, 1115, 1727683736622
BINANCE:E, 2637.620, 1163, 1727683796622
BINANCE:E, 2637.321, 1213, 1727683856622
BINANCE:E, 2636.727, 1304, 1727683916622
BINANCE:E, 2636.123, 1511, 1727683976622
BINANCE:E, 2635.699, 1505, 1727684036622
BINANCE:E, 2635.544, 1469, 1727684096622
BINANCE:E, 2635.225, 1484, 1727684156622
BINANCE:E, 2634.920, 1475, 1727684216622
BINANCE:E, 2634.639, 1442, 1727684276622
BINANCE:E, 2634.347, 1438, 1727684336622
BINANCE:E, 2634.151, 1416, 1727684396622
BINANCE:E, 2633.725, 1576, 1727684456622
BINANCE:E, 2633.131, 1739, 1727684516622
BINANCE:E, 2631.633, 2018, 1727684576622
BINANCE:E, 2631.151, 2152, 1727684636622
BINANCE:E, 2630.492, 2495, 1727684696622
BINANCE:E, 2630.101, 2522, 1727684756622
BINANCE:E, 2629.921, 2507, 1727684816622
BINANCE:E, 2629.722, 2291, 1727684876622
BINANCE:E, 2629.556, 2343, 1727684936622
BINANCE:E, 2629.621, 3199, 1727684996622
BINANCE:E, 2629.863, 3463, 1727685056622
BINANCE:E, 2630.308, 4162, 1727685116622
BINANCE:E, 2631.455, 4672, 1727685176622
BINANCE:E, 2632.160, 5309, 1727685236622
BINANCE:E, 2632.803, 5685, 1727685296622
BINANCE:E, 2633.454, 5690, 1727685356622
BINANCE:E, 2633.821, 5845, 1727685416622
BINANCE:E, 2634.598, 5613, 1727685476622
BINANCE:E, 2634.961, 5474, 1727685536622
BINANCE:E, 2635.535, 5535, 1727685596624
BINANCE:E, 2636.035, 5743, 1727685656623
BINANCE:E, 2636.369, 5809, 1727685716622
BINANCE:E, 2636.708, 5894, 1727685776622
BINANCE:E, 2637.140, 6052, 1727685836623
BINANCE:E, 2637.561, 5289, 1727685896622
BINANCE:E, 2637.869, 5003, 1727685956622
BINANCE:E, 2638.104, 4519, 1727686016626
BINANCE:E, 2637.792, 4072, 1727686076622
BINANCE:E, 2637.505, 3501, 1727686136622
BINANCE:E, 2637.296, 3309, 1727686196622
BINANCE:E, 2637.289, 3366, 1727686256622
BINANCE:E, 2637.547, 3208, 1727686316622
BINANCE:E, 2637.588, 3274, 1727686376622
BINANCE:E, 2637.977, 3466, 1727686436623
BINANCE:E, 2638.421, 3290, 1727686496623
BINANCE:E, 2638.908, 3222, 1727686556622
BINANCE:E, 2639.114, 3175, 1727686616622
BINANCE:E, 2639.323, 3135, 1727686676622
BINANCE:E, 2639.438, 3021, 1727686736622
