Open, Close, Max, Min, Volume, Creation Time
0.000, 0.000, 0.000, 0.000, 0.000, 1727681756621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681816621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681876621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681936621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681996621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682056621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682116621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682176621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682236621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682296621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682356621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682416621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682476621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682536622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682596621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682656622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682716622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682776621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682836621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682896621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682956621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683016621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683076621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683136621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683196621
120.800, 120.300, 121.210, 120.270, 41244.000, 1727683256621
120.250, 120.080, 120.340, 119.900, 47474.000, 1727683316621
120.020, 119.900, 120.120, 119.750, 38199.000, 1727683376621
119.900, 119.800, 119.900, 119.610, 36887.000, 1727683436621
119.800, 119.790, 119.900, 119.720, 23150.000, 1727683496621
119.800, 119.670, 119.800, 119.540, 34634.000, 1727683556621
119.720, 119.850, 119.850, 119.660, 23945.000, 1727683616621
119.840, 119.750, 119.880, 119.730, 12148.000, 1727683676621
119.720, 119.730, 119.800, 119.690, 10571.000, 1727683736621
119.700, 119.570, 119.730, 119.560, 20305.000, 1727683796621
119.580, 119.690, 119.730, 119.550, 12821.000, 1727683856621
119.670, 119.570, 119.700, 119.560, 9219.000, 1727683916621
119.560, 119.610, 119.650, 119.560, 5378.000, 1727683976621
119.600, 119.540, 119.610, 119.530, 10906.000, 1727684036621
119.540, 119.480, 119.680, 119.480, 49723.000, 1727684096621
119.480, 119.420, 119.530, 119.380, 17086.000, 1727684156621
119.420, 119.400, 119.440, 119.330, 13599.000, 1727684216621
119.360, 119.370, 119.450, 119.340, 9400.000, 1727684276622
119.390, 119.310, 119.400, 119.280, 11018.000, 1727684336621
119.310, 119.200, 119.340, 119.100, 31986.000, 1727684396622
119.190, 119.310, 119.360, 119.150, 28944.000, 1727684456621
119.310, 119.320, 119.360, 119.260, 16918.000, 1727684516621
119.300, 119.450, 119.450, 119.300, 14160.000, 1727684576622
119.440, 119.350, 119.490, 119.350, 16766.000, 1727684636621
119.360, 119.360, 119.400, 119.300, 10903.000, 1727684696621
119.350, 119.480, 119.520, 119.330, 20116.000, 1727684756621
119.520, 119.600, 119.600, 119.500, 17611.000, 1727684816621
119.580, 119.550, 119.660, 119.520, 19209.000, 1727684876621
119.550, 119.550, 119.590, 119.490, 5931.000, 1727684936621
119.540, 119.470, 119.570, 119.440, 11296.000, 1727684996621
119.460, 119.460, 119.500, 119.440, 11565.000, 1727685056621
119.460, 119.390, 119.460, 119.320, 10606.000, 1727685116621
119.400, 119.230, 119.440, 119.220, 8669.000, 1727685176621
119.230, 119.300, 119.350, 119.140, 18073.000, 1727685236621
119.280, 119.370, 119.390, 119.280, 11412.000, 1727685296621
119.330, 119.440, 119.450, 119.330, 10092.000, 1727685356621
119.450, 119.470, 119.500, 119.420, 11240.000, 1727685416621
119.480, 119.390, 119.500, 119.390, 10638.000, 1727685476621
119.390, 119.360, 119.440, 119.320, 4006.000, 1727685536621
119.360, 119.410, 119.430, 119.360, 3758.000, 1727685596622
119.440, 119.380, 119.440, 119.340, 3812.000, 1727685656622
119.370, 119.440, 119.450, 119.300, 7898.000, 1727685716621
119.440, 119.470, 119.540, 119.400, 14952.000, 1727685776621
119.480, 119.420, 119.480, 119.380, 3292.000, 1727685836621
119.420, 119.430, 119.450, 119.400, 3973.000, 1727685896621
119.420, 119.450, 119.460, 119.400, 2218.000, 1727685956621
119.460, 119.440, 119.460, 119.400, 3284.000, 1727686016622
119.450, 119.450, 119.490, 119.420, 3981.000, 1727686076621
119.450, 119.400, 119.450, 119.370, 1931.000, 1727686136622
119.400, 119.380, 119.420, 119.370, 3328.000, 1727686196621
119.400, 119.360, 119.400, 119.340, 8748.000, 1727686256622
119.350, 119.300, 119.360, 119.280, 4093.000, 1727686316622
119.310, 119.370, 119.380, 119.300, 3505.000, 1727686376622
119.360, 119.340, 119.370, 119.310, 5878.000, 1727686436622
119.330, 119.370, 119.400, 119.330, 7673.000, 1727686496622
119.380, 119.440, 119.480, 119.370, 12671.000, 1727686556622
119.440, 119.480, 119.490, 119.440, 6274.000, 1727686616621
119.480, 119.500, 119.500, 119.470, 7165.000, 1727686676621
119.490, 119.500, 119.520, 119.470, 7857.000, 1727686736621
119.500, 119.500, 119.550, 119.470, 10944.000, 1727686796621
119.500, 119.420, 119.500, 119.420, 8946.000, 1727686856622
119.420, 119.430, 119.450, 119.400, 4946.000, 1727686916621
119.430, 119.390, 119.430, 119.360, 7498.000, 1727686976622
119.380, 119.300, 119.390, 119.300, 9164.000, 1727687036621
119.300, 119.350, 119.370, 119.300, 13352.000, 1727687096622
119.350, 119.450, 119.450, 119.340, 5536.000, 1727687156621
119.450, 119.460, 119.490, 119.430, 8236.000, 1727687216621
119.470, 119.450, 119.470, 119.410, 5244.000, 1727687276621
119.450, 119.400, 119.450, 119.400, 7178.000, 1727687336621
119.410, 119.410, 119.460, 119.360, 5570.000, 1727687396621
119.400, 119.380, 119.430, 119.380, 8598.000, 1727687456621
119.390, 119.360, 119.400, 119.360, 3658.000, 1727687516622
119.380, 119.390, 119.400, 119.360, 6780.000, 1727687576622
119.390, 119.400, 119.420, 119.360, 6588.000, 1727687636622
119.400, 119.430, 119.450, 119.390, 24668.000, 1727687696621
119.420, 119.350, 119.440, 119.350, 12160.000, 1727687756621
119.350, 119.310, 119.360, 119.250, 14956.000, 1727687816622
119.310, 119.110, 119.310, 119.110, 61766.000, 1727687876621
119.110, 119.130, 119.150, 119.090, 28678.000, 1727687936622
119.120, 119.130, 119.150, 119.120, 19684.000, 1727687996621
119.130, 119.100, 119.150, 119.090, 16450.000, 1727688056622
119.100, 119.150, 119.150, 119.080, 37692.000, 1727688116622
119.150, 119.160, 119.180, 119.140, 26860.000, 1727688176622
119.150, 119.170, 119.190, 119.120, 12510.000, 1727688236621
119.150, 119.270, 119.270, 119.150, 105200.000, 1727688296621
119.270, 119.340, 119.410, 119.260, 17766.000, 1727688356622
119.320, 119.350, 119.380, 119.310, 10338.000, 1727688416621
119.350, 119.190, 119.370, 119.130, 54610.000, 1727688476621
119.190, 119.130, 119.210, 119.130, 29834.000, 1727688536621
119.130, 119.110, 119.140, 119.070, 28458.000, 1727688596621
119.110, 119.130, 119.150, 119.110, 7164.000, 1727688656621
119.130, 119.210, 119.310, 119.120, 118442.000, 1727688716622
119.210, 119.100, 119.220, 119.100, 40068.000, 1727688776622
119.100, 119.130, 119.160, 119.100, 7244.000, 1727688836621
119.140, 119.090, 119.160, 119.090, 22414.000, 1727688896621
119.080, 118.970, 119.100, 118.950, 84454.000, 1727688956622
118.970, 118.680, 118.970, 118.650, 73916.000, 1727689016621
118.690, 118.750, 118.810, 118.630, 41232.000, 1727689076621
118.750, 118.860, 118.860, 118.700, 37710.000, 1727689136621
118.850, 118.800, 118.880, 118.790, 19194.000, 1727689196622
118.830, 118.870, 118.900, 118.800, 15342.000, 1727689256622
118.870, 118.960, 118.970, 118.860, 13946.000, 1727689316622
118.970, 119.020, 119.040, 118.960, 17924.000, 1727689376621
119.000, 118.990, 119.010, 118.960, 8704.000, 1727689436621
119.000, 119.010, 119.080, 119.000, 5802.000, 1727689496621
119.030, 119.040, 119.070, 119.020, 4226.000, 1727689556622
119.040, 119.060, 119.060, 119.020, 5884.000, 1727689616622
119.080, 119.070, 119.090, 119.060, 3980.000, 1727689676621
119.080, 119.170, 119.190, 119.060, 17062.000, 1727689736622
119.180, 119.150, 119.200, 119.070, 15116.000, 1727689796621
119.160, 119.190, 119.200, 119.150, 6080.000, 1727689856622
119.200, 119.180, 119.200, 119.160, 8178.000, 1727689916621
119.180, 119.210, 119.210, 119.130, 17340.000, 1727689976621
119.150, 119.250, 119.290, 119.150, 13420.000, 1727690036622
119.250, 119.220, 119.260, 119.210, 5186.000, 1727690096621
119.230, 119.210, 119.240, 119.210, 3060.000, 1727690156622
119.200, 119.180, 119.220, 119.130, 8046.000, 1727690216622
119.180, 119.170, 119.200, 119.150, 9292.000, 1727690276621
119.160, 119.170, 119.200, 119.160, 2108.000, 1727690336621
119.170, 119.170, 119.180, 119.140, 2472.000, 1727690396622
119.180, 119.150, 119.200, 119.140, 5812.000, 1727690456621
119.160, 119.100, 119.160, 119.100, 6356.000, 1727690516622
119.100, 119.160, 119.160, 119.060, 14780.000, 1727690576622
119.140, 119.150, 119.160, 119.110, 8520.000, 1727690636621
119.140, 119.120, 119.180, 119.120, 8565.000, 1727690696621
119.120, 119.180, 119.210, 119.120, 15119.000, 1727690756622
119.180, 119.230, 119.230, 119.180, 2442.000, 1727690816621
119.240, 119.150, 119.250, 119.130, 8902.000, 1727690876621
119.150, 119.150, 119.160, 119.130, 1946.000, 1727690936622
119.150, 119.140, 119.160, 119.120, 1946.000, 1727690996622
119.140, 119.110, 119.140, 119.100, 7468.000, 1727691056621
119.100, 119.080, 119.120, 119.060, 5470.000, 1727691116622
119.060, 119.080, 119.100, 119.060, 5706.000, 1727691176621
119.070, 119.080, 119.100, 119.070, 6076.000, 1727691236621
119.080, 118.920, 119.080, 118.920, 36028.000, 1727691296621
118.930, 118.890, 118.930, 118.830, 20852.000, 1727691356621
118.900, 118.990, 119.000, 118.880, 41206.000, 1727691416622
118.990, 119.070, 119.080, 118.960, 11620.000, 1727691476621
119.070, 119.070, 119.110, 119.000, 22842.000, 1727691536622
119.100, 118.950, 119.100, 118.950, 9650.000, 1727691596621
118.950, 118.900, 118.950, 118.830, 18658.000, 1727691656621
118.890, 118.940, 118.950, 118.880, 11148.000, 1727691716621
118.910, 118.920, 118.940, 118.880, 4920.000, 1727691776621
118.940, 118.930, 118.960, 118.890, 4202.000, 1727691836621
118.930, 119.000, 119.020, 118.930, 4732.000, 1727691896622
118.990, 119.100, 119.130, 118.990, 18480.000, 1727691956621
119.100, 119.130, 119.140, 119.060, 14930.000, 1727692016621
119.110, 119.140, 119.170, 119.110, 28544.000, 1727692076621
119.130, 119.090, 119.150, 119.060, 5422.000, 1727692136621
119.070, 119.050, 119.090, 119.030, 2534.000, 1727692196621
119.030, 119.090, 119.100, 119.030, 3320.000, 1727692256621
119.080, 118.970, 119.080, 118.970, 14198.000, 1727692316622
119.010, 119.040, 119.050, 119.010, 3676.000, 1727692376621
119.040, 118.990, 119.040, 118.950, 8344.000, 1727692436621
119.010, 118.940, 119.010, 118.910, 5270.000, 1727692496621
118.910, 118.920, 118.940, 118.880, 16976.000, 1727692556621
118.930, 119.020, 119.030, 118.900, 15332.000, 1727692616622
119.010, 119.040, 119.090, 119.010, 6132.000, 1727692676621
119.060, 119.030, 119.060, 119.030, 1632.000, 1727692736621
119.020, 119.000, 119.050, 119.000, 8564.000, 1727692796622
119.020, 119.000, 119.020, 119.000, 5462.000, 1727692856622
119.010, 119.000, 119.050, 119.000, 4966.000, 1727692916622
119.020, 119.050, 119.050, 119.000, 3454.000, 1727692976621
119.050, 119.010, 119.050, 119.000, 4870.000, 1727693036622
119.030, 119.010, 119.030, 119.000, 4990.000, 1727693096621
119.010, 119.030, 119.050, 118.970, 13626.000, 1727693156622
119.030, 118.970, 119.030, 118.950, 4790.000, 1727693216621
119.000, 118.970, 119.000, 118.970, 5142.000, 1727693276621
118.970, 118.980, 119.000, 118.970, 4768.000, 1727693336621
119.000, 119.020, 119.040, 119.000, 18146.000, 1727693396622
119.030, 119.100, 119.130, 119.030, 15598.000, 1727693456622
119.100, 119.170, 119.170, 119.100, 13916.000, 1727693516622
119.170, 119.180, 119.200, 119.150, 19348.000, 1727693576621
119.190, 119.170, 119.200, 119.160, 5388.000, 1727693636621
119.170, 119.190, 119.200, 119.170, 12240.000, 1727693696621
119.190, 119.260, 119.260, 119.190, 27744.000, 1727693756621
119.250, 119.220, 119.270, 119.220, 4546.000, 1727693816621
119.240, 119.200, 119.240, 119.180, 7286.000, 1727693876621
119.200, 119.270, 119.280, 119.200, 8372.000, 1727693936621
119.280, 119.240, 119.320, 119.210, 17154.000, 1727693996621
119.250, 119.110, 119.380, 118.940, 220596.000, 1727694056621
119.110, 119.000, 119.120, 119.000, 38790.000, 1727694116621
119.020, 119.030, 119.050, 118.950, 22630.000, 1727694176621
119.010, 119.030, 119.060, 118.880, 79328.000, 1727694236622
119.030, 119.090, 119.100, 119.000, 15392.000, 1727694296621
119.090, 118.870, 119.100, 118.840, 98248.000, 1727694356622
118.880, 118.950, 118.970, 118.880, 41500.000, 1727694416621
118.950, 118.920, 118.980, 118.920, 22232.000, 1727694476621
118.940, 118.910, 118.960, 118.870, 52188.000, 1727694536621
118.911, 118.870, 118.950, 118.870, 43202.000, 1727694596621
118.870, 118.710, 118.880, 118.690, 90628.000, 1727694656622
118.700, 118.590, 118.710, 118.590, 43796.000, 1727694716622
118.590, 118.621, 118.740, 118.520, 92628.000, 1727694776621
118.620, 118.510, 118.640, 118.510, 73226.000, 1727694836621
118.510, 118.420, 118.520, 118.410, 98638.000, 1727694896622
118.430, 118.590, 118.600, 118.410, 71702.000, 1727694956621
118.580, 118.660, 118.700, 118.570, 77588.000, 1727695016621
118.630, 118.640, 118.700, 118.600, 30342.000, 1727695076621
118.630, 118.650, 118.690, 118.600, 22822.000, 1727695136621
118.650, 118.710, 118.720, 118.610, 30302.000, 1727695196621
118.720, 118.660, 118.780, 118.650, 44834.000, 1727695256621
118.660, 118.640, 118.700, 118.620, 26124.000, 1727695316622
118.640, 118.600, 118.640, 118.600, 16952.000, 1727695376621
118.640, 118.610, 118.650, 118.500, 57234.000, 1727695436621
118.620, 118.580, 118.640, 118.550, 37276.000, 1727695496621
118.600, 118.540, 118.600, 118.520, 17796.000, 1727695556621
118.520, 118.470, 118.550, 118.460, 31846.000, 1727695616622
118.470, 118.430, 118.550, 118.400, 55792.000, 1727695676621
118.440, 118.380, 118.440, 118.360, 48474.000, 1727695736621
118.380, 118.360, 118.420, 118.360, 22628.000, 1727695796621
118.370, 118.490, 118.550, 118.330, 45498.000, 1727695856621
118.520, 118.480, 118.580, 118.460, 25776.000, 1727695916621
118.480, 118.550, 118.600, 118.450, 28934.000, 1727695976621
118.560, 118.430, 118.600, 118.430, 33308.000, 1727696036621
118.460, 118.480, 118.500, 118.440, 8884.000, 1727696096621
118.470, 118.340, 118.500, 118.340, 71098.000, 1727696156621
118.380, 118.340, 118.380, 118.310, 92206.000, 1727696216621
118.340, 118.349, 118.400, 118.320, 22576.000, 1727696276621
118.320, 118.180, 118.320, 118.180, 119918.000, 1727696336621
118.180, 118.140, 118.250, 118.130, 53348.000, 1727696396621
118.140, 118.050, 118.140, 118.030, 113894.000, 1727696456622
118.050, 117.930, 118.070, 117.890, 324434.000, 1727696516622
117.940, 117.940, 118.020, 117.910, 56042.000, 1727696576623
117.950, 117.950, 118.000, 117.920, 52140.000, 1727696636622
117.949, 117.930, 118.000, 117.920, 61746.000, 1727696696621
117.920, 118.110, 118.170, 117.890, 219592.000, 1727696756621
118.140, 118.090, 118.190, 118.090, 64216.000, 1727696816622
118.100, 118.040, 118.150, 118.040, 41560.000, 1727696876622
118.040, 117.890, 118.040, 117.850, 95254.000, 1727696936622
117.900, 117.820, 117.900, 117.800, 93528.000, 1727696996622
117.800, 117.820, 117.830, 117.720, 126780.000, 1727697056622
117.820, 117.929, 117.930, 117.800, 59156.000, 1727697116622
117.920, 117.970, 117.970, 117.900, 67670.000, 1727697176621
117.970, 118.100, 118.120, 117.960, 130046.000, 1727697236621
118.110, 118.140, 118.150, 118.080, 36508.000, 1727697296622
118.160, 118.130, 118.190, 118.120, 51906.000, 1727697356622
118.130, 118.060, 118.150, 118.060, 42756.000, 1727697416621
118.080, 118.050, 118.110, 118.000, 66594.000, 1727697476621
118.030, 118.000, 118.050, 118.000, 22510.000, 1727697536621
118.030, 118.080, 118.080, 117.990, 46066.000, 1727697596621
118.090, 117.850, 121.400, 117.720, 2979367.000, 1727697656621
117.930, 117.970, 120.970, 117.730, 81400.000, 1727697716622
118.000, 118.240, 121.400, 117.970, 133350.000, 1727697776621
121.400, 118.100, 121.400, 118.090, 136244.000, 1727697836621
118.110, 118.120, 118.140, 118.060, 40412.000, 1727697896621
118.125, 118.250, 118.270, 118.100, 81128.000, 1727697956622
118.250, 118.330, 118.350, 118.220, 132496.000, 1727698016622
118.320, 118.320, 118.350, 118.240, 83540.000, 1727698076621
118.320, 118.280, 118.380, 118.230, 106912.000, 1727698136621
118.290, 118.350, 118.430, 118.270, 78520.000, 1727698196622
118.350, 118.330, 118.390, 118.320, 77794.000, 1727698256622
118.320, 118.270, 118.330, 118.200, 101590.000, 1727698316622
118.270, 118.135, 118.270, 118.100, 129376.000, 1727698376621
118.120, 118.150, 118.190, 118.050, 56588.000, 1727698436621
118.160, 118.030, 118.170, 118.030, 60918.000, 1727698496621
118.030, 118.050, 118.070, 118.000, 127432.000, 1727698556621
118.060, 118.110, 118.125, 118.040, 80256.000, 1727698616621
118.108, 118.079, 118.108, 118.070, 49904.000, 1727698676622
118.070, 118.190, 118.220, 118.070, 46048.000, 1727698736622
118.190, 118.180, 118.257, 118.120, 49342.000, 1727698796622
118.216, 118.090, 118.216, 118.080, 38880.000, 1727698856622
118.090, 117.870, 118.100, 117.830, 284168.000, 1727698916621
117.900, 117.950, 118.050, 117.870, 50052.000, 1727698976621
117.950, 117.930, 118.000, 117.910, 85726.000, 1727699036621
117.910, 117.880, 117.939, 117.850, 105162.000, 1727699096621
117.890, 117.850, 117.900, 117.840, 87904.000, 1727699156621
117.840, 117.890, 117.890, 117.800, 115056.000, 1727699216621
117.890, 117.950, 117.990, 117.870, 91128.000, 1727699276622
117.930, 117.950, 117.970, 117.910, 67833.000, 1727699336621
117.950, 118.050, 118.100, 117.940, 101655.000, 1727699396622
118.060, 118.150, 118.170, 118.050, 68564.000, 1727699456622
118.140, 118.130, 118.160, 118.100, 66058.000, 1727699516622
118.140, 118.055, 118.170, 118.030, 56622.000, 1727699576621
118.060, 117.990, 118.060, 117.980, 41866.000, 1727699636621
117.999, 118.010, 118.050, 117.990, 41698.000, 1727699696621
118.010, 118.070, 118.100, 118.000, 44448.000, 1727699756621
118.080, 118.180, 118.210, 118.050, 118452.000, 1727699816621
118.170, 118.130, 118.190, 118.120, 48264.000, 1727699876621
118.130, 118.150, 118.160, 118.120, 51834.000, 1727699936621
118.145, 118.110, 118.150, 118.060, 59468.000, 1727699996621
118.100, 118.080, 118.150, 118.070, 35624.000, 1727700056621
118.050, 117.980, 118.080, 117.930, 109060.000, 1727700116621
117.990, 118.051, 118.090, 117.960, 46776.000, 1727700176621
118.070, 118.060, 118.130, 118.010, 48143.000, 1727700236621
118.060, 117.920, 121.400, 117.900, 1113271.000, 1727700296621
117.900, 117.950, 117.980, 117.880, 84379.000, 1727700356621
117.980, 117.970, 118.040, 117.950, 40004.000, 1727700416621
117.970, 117.912, 118.000, 117.901, 57982.000, 1727700476621
117.929, 118.100, 118.150, 117.900, 130254.000, 1727700536621
118.110, 118.079, 118.120, 118.050, 39010.000, 1727700596621
118.080, 118.160, 118.170, 118.070, 68916.000, 1727700656621
118.150, 118.190, 118.200, 118.050, 92300.000, 1727700716621
118.190, 118.260, 118.290, 118.180, 96710.000, 1727700776622
118.250, 118.250, 118.280, 118.180, 78744.000, 1727700836622
118.250, 118.260, 118.280, 118.230, 58046.000, 1727700896622
118.270, 118.170, 118.280, 118.160, 49832.000, 1727700956622
118.200, 118.120, 118.220, 118.082, 47882.000, 1727701016621
118.130, 118.111, 118.170, 118.081, 42082.000, 1727701076621
118.129, 118.150, 118.170, 118.110, 22456.000, 1727701136621
118.150, 118.220, 118.230, 118.140, 42374.000, 1727701196621
118.230, 118.185, 118.250, 118.170, 57908.000, 1727701256621
118.190, 118.090, 118.198, 118.060, 66642.000, 1727701316621
118.120, 118.170, 118.200, 118.120, 57276.000, 1727701376621
118.170, 118.270, 118.340, 118.140, 105125.000, 1727701436622
118.270, 118.260, 118.340, 118.250, 93665.000, 1727701496622
118.263, 118.230, 118.310, 118.120, 130094.000, 1727701556621
118.230, 118.245, 118.250, 118.180, 38462.000, 1727701616622
118.250, 118.230, 118.250, 118.190, 54128.000, 1727701676622
118.220, 118.321, 118.340, 118.211, 63912.000, 1727701736622
118.330, 118.330, 118.370, 118.310, 68320.000, 1727701796622
118.340, 118.400, 118.420, 118.312, 104920.000, 1727701856621
118.400, 118.330, 118.420, 118.250, 133394.000, 1727701916622
118.330, 118.350, 118.360, 118.280, 54800.000, 1727701976622
118.370, 118.340, 118.400, 118.330, 65432.000, 1727702036621
118.311, 118.350, 118.370, 118.280, 57902.000, 1727702096621
