Symbol, Moving Average, Total Volume, Creation Time
NVDA, 0.000, 0, 1727681756622
NVDA, 0.000, 0, 1727681816622
NVDA, 0.000, 0, 1727681876622
NVDA, 0.000, 0, 1727681936622
NVDA, 0.000, 0, 1727681996622
NVDA, 0.000, 0, 1727682056622
NVDA, 0.000, 0, 1727682116622
NVDA, 0.000, 0, 1727682176622
NVDA, 0.000, 0, 1727682236622
NVDA, 0.000, 0, 1727682296622
NVDA, 0.000, 0, 1727682356622
NVDA, 0.000, 0, 1727682416622
NVDA, 0.000, 0, 1727682476622
NVDA, 0.000, 0, 1727682536623
NVDA, 0.000, 0, 1727682596622
NVDA, 0.000, 0, 1727682656622
NVDA, 0.000, 0, 1727682716622
NVDA, 0.000, 0, 1727682776622
NVDA, 0.000, 0, 1727682836622
NVDA, 0.000, 0, 1727682896622
NVDA, 0.000, 0, 1727682956622
NVDA, 0.000, 0, 1727683016622
NVDA, 0.000, 0, 1727683076622
NVDA, 0.000, 0, 1727683136622
NVDA, 0.000, 0, 1727683196622
NVDA, 120.558, 41244, 1727683256622
NVDA, 120.308, 88718, 1727683316622
NVDA, 120.181, 126917, 1727683376622
NVDA, 120.079, 163804, 1727683436622
NVDA, 120.044, 186954, 1727683496622
NVDA, 120.000, 221588, 1727683556622
NVDA, 119.983, 245533, 1727683616622
NVDA, 119.972, 257681, 1727683676622
NVDA, 119.959, 268252, 1727683736622
NVDA, 119.933, 288557, 1727683796622
NVDA, 119.920, 301378, 1727683856622
NVDA, 119.911, 310597, 1727683916622
NVDA, 119.905, 315975, 1727683976622
NVDA, 119.892, 326881, 1727684036622
NVDA, 119.865, 376604, 1727684096622
NVDA, 119.756, 352446, 1727684156622
NVDA, 119.688, 318571, 1727684216622
NVDA, 119.646, 289772, 1727684276622
NVDA, 119.614, 263903, 1727684336622
NVDA, 119.556, 272739, 1727684396622
NVDA, 119.524, 267049, 1727684456622
NVDA, 119.492, 260022, 1727684516622
NVDA, 119.462, 262034, 1727684576622
NVDA, 119.443, 268229, 1727684636622
NVDA, 119.417, 258827, 1727684696622
NVDA, 119.405, 266122, 1727684756622
NVDA, 119.400, 274514, 1727684816622
NVDA, 119.407, 288345, 1727684876622
NVDA, 119.402, 283370, 1727684936622
NVDA, 119.386, 244943, 1727684996622
NVDA, 119.384, 239422, 1727685056622
NVDA, 119.386, 236429, 1727685116622
NVDA, 119.381, 235698, 1727685176622
NVDA, 119.370, 242753, 1727685236622
NVDA, 119.389, 222179, 1727685296622
NVDA, 119.403, 203327, 1727685356622
NVDA, 119.414, 197649, 1727685416622
NVDA, 119.421, 194127, 1727685476622
NVDA, 119.419, 181367, 1727685536622
NVDA, 119.423, 174222, 1727685596624
NVDA, 119.419, 157918, 1727685656623
NVDA, 119.409, 148205, 1727685716622
NVDA, 119.393, 143948, 1727685776622
NVDA, 119.386, 141309, 1727685836623
NVDA, 119.379, 133986, 1727685896622
NVDA, 119.375, 124639, 1727685956622
NVDA, 119.375, 117317, 1727686016626
NVDA, 119.384, 112629, 1727686076622
NVDA, 119.416, 96487, 1727686136622
NVDA, 119.423, 88403, 1727686196622
NVDA, 119.422, 87059, 1727686256622
NVDA, 119.408, 79912, 1727686316622
NVDA, 119.399, 72779, 1727686376622
NVDA, 119.396, 74651, 1727686436622
NVDA, 119.395, 78566, 1727686496623
NVDA, 119.399, 87425, 1727686556622
NVDA, 119.407, 85801, 1727686616622
NVDA, 119.402, 78014, 1727686676622
NVDA, 119.407, 82579, 1727686736622
NVDA, 119.416, 89550, 1727686796623
NVDA, 119.421, 96278, 1727686856623
NVDA, 119.421, 97940, 1727686916622
NVDA, 119.417, 101457, 1727686976623
NVDA, 119.408, 108690, 1727687036622
NVDA, 119.373, 118714, 1727687096623
NVDA, 119.375, 115502, 1727687156622
NVDA, 119.382, 119645, 1727687216622
NVDA, 119.385, 121384, 1727687276622
NVDA, 119.389, 122684, 1727687336622
NVDA, 119.391, 120581, 1727687396622
NVDA, 119.389, 116508, 1727687456622
NVDA, 119.387, 113892, 1727687516622
NVDA, 119.384, 113507, 1727687576622
NVDA, 119.381, 112238, 1727687636626
NVDA, 119.379, 125962, 1727687696622
NVDA, 119.375, 129176, 1727687756623
NVDA, 119.365, 139186, 1727687816624
NVDA, 119.327, 193454, 1727687876622
NVDA, 119.304, 212968, 1727687936625
NVDA, 119.293, 219300, 1727687996622
NVDA, 119.275, 230214, 1727688056623
NVDA, 119.259, 259670, 1727688116624
NVDA, 119.248, 281286, 1727688176623
NVDA, 119.237, 286618, 1727688236623
NVDA, 119.227, 386248, 1727688296622
NVDA, 119.230, 395416, 1727688356622
NVDA, 119.230, 402096, 1727688416622
NVDA, 119.228, 449926, 1727688476623
NVDA, 119.221, 473172, 1727688536622
NVDA, 119.202, 476962, 1727688596622
NVDA, 119.191, 471966, 1727688656622
NVDA, 119.185, 575452, 1727688716625
NVDA, 119.183, 553754, 1727688776623
NVDA, 119.189, 532320, 1727688836622
NVDA, 119.188, 535050, 1727688896622
NVDA, 119.125, 603054, 1727688956625
NVDA, 119.074, 639278, 1727689016622
NVDA, 119.049, 653650, 1727689076622
NVDA, 119.028, 678850, 1727689136622
NVDA, 119.015, 592844, 1727689196625
NVDA, 118.997, 590420, 1727689256623
NVDA, 118.987, 594028, 1727689316622
NVDA, 118.969, 557342, 1727689376622
NVDA, 118.963, 536212, 1727689436622
NVDA, 118.955, 513556, 1727689496622
NVDA, 118.952, 510618, 1727689556625
NVDA, 118.937, 398060, 1727689616622
NVDA, 118.927, 361972, 1727689676622
NVDA, 118.928, 371790, 1727689736622
NVDA, 118.930, 364492, 1727689796622
NVDA, 118.898, 286118, 1727689856622
NVDA, 118.935, 220380, 1727689916622
NVDA, 118.985, 196488, 1727689976622
NVDA, 119.039, 172198, 1727690036622
NVDA, 119.067, 158190, 1727690096622
NVDA, 119.093, 145908, 1727690156623
NVDA, 119.115, 140008, 1727690216622
NVDA, 119.131, 131376, 1727690276623
NVDA, 119.148, 124780, 1727690336622
NVDA, 119.156, 121450, 1727690396622
NVDA, 119.162, 123036, 1727690456622
NVDA, 119.167, 123508, 1727690516622
NVDA, 119.166, 134308, 1727690576623
NVDA, 119.171, 125766, 1727690636622
NVDA, 119.172, 119215, 1727690696622
NVDA, 119.171, 128254, 1727690756623
NVDA, 119.172, 122518, 1727690816622
NVDA, 119.173, 114080, 1727690876622
NVDA, 119.167, 102606, 1727690936623
NVDA, 119.161, 99366, 1727690996625
NVDA, 119.155, 103774, 1727691056622
NVDA, 119.148, 101198, 1727691116625
NVDA, 119.143, 97612, 1727691176623
NVDA, 119.137, 101580, 1727691236622
NVDA, 119.095, 135136, 1727691296622
NVDA, 119.059, 150176, 1727691356622
NVDA, 119.046, 185026, 1727691416623
NVDA, 119.043, 181866, 1727691476622
NVDA, 119.040, 196188, 1727691536625
NVDA, 119.033, 197273, 1727691596622
NVDA, 119.016, 200812, 1727691656622
NVDA, 119.004, 209518, 1727691716622
NVDA, 118.992, 205536, 1727691776622
NVDA, 118.985, 207792, 1727691836624
NVDA, 118.981, 210578, 1727691896623
NVDA, 118.983, 221590, 1727691956622
NVDA, 118.986, 231050, 1727692016622
NVDA, 118.992, 253888, 1727692076622
NVDA, 118.992, 253234, 1727692136622
NVDA, 118.991, 219740, 1727692196622
NVDA, 119.014, 202208, 1727692256622
NVDA, 119.022, 175200, 1727692316626
NVDA, 119.020, 167256, 1727692376622
NVDA, 119.014, 152758, 1727692436622
NVDA, 119.010, 148378, 1727692496622
NVDA, 119.010, 146696, 1727692556622
NVDA, 119.013, 150880, 1727692616622
NVDA, 119.022, 152092, 1727692676622
NVDA, 119.027, 149522, 1727692736623
NVDA, 119.030, 153354, 1727692796626
NVDA, 119.023, 140336, 1727692856626
NVDA, 119.015, 130372, 1727692916622
NVDA, 119.003, 105282, 1727692976622
NVDA, 118.999, 104730, 1727693036622
NVDA, 118.998, 107186, 1727693096622
NVDA, 118.996, 117492, 1727693156622
NVDA, 118.994, 108084, 1727693216622
NVDA, 118.993, 109550, 1727693276622
NVDA, 118.992, 105974, 1727693336622
NVDA, 118.997, 118850, 1727693396622
NVDA, 119.020, 117472, 1727693456622
NVDA, 119.037, 116056, 1727693516622
NVDA, 119.048, 129272, 1727693576622
NVDA, 119.055, 133028, 1727693636622
NVDA, 119.069, 136704, 1727693696622
NVDA, 119.088, 158986, 1727693756622
NVDA, 119.100, 158566, 1727693816622
NVDA, 119.112, 162398, 1727693876622
NVDA, 119.127, 165900, 1727693936622
NVDA, 119.148, 178064, 1727693996622
NVDA, 119.159, 385034, 1727694056622
NVDA, 119.156, 419034, 1727694116622
NVDA, 119.151, 436522, 1727694176622
NVDA, 119.124, 511082, 1727694236622
NVDA, 119.125, 508328, 1727694296622
NVDA, 119.104, 590978, 1727694356622
NVDA, 119.094, 618562, 1727694416622
