Open, Close, Max, Min, Volume, Creation Time
0.000, 0.000, 0.000, 0.000, 0.000, 1727681756621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681816621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681876621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681936621
0.000, 0.000, 0.000, 0.000, 0.000, 1727681996621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682056621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682116621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682176621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682236621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682296621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682356621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682416621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682476621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682536622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682596621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682656622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682716622
0.000, 0.000, 0.000, 0.000, 0.000, 1727682776621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682836621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682896621
0.000, 0.000, 0.000, 0.000, 0.000, 1727682956621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683016621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683076621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683136621
0.000, 0.000, 0.000, 0.000, 0.000, 1727683196621
262.000, 261.220, 262.200, 261.000, 16021.000, 1727683256621
261.250, 261.750, 262.000, 261.200, 14846.000, 1727683316621
261.710, 262.220, 262.270, 261.670, 19693.000, 1727683376621
262.200, 262.190, 262.240, 261.800, 13721.000, 1727683436621
262.190, 262.320, 262.380, 262.000, 8312.000, 1727683496621
262.330, 262.110, 262.440, 262.000, 14526.000, 1727683556621
262.090, 262.100, 262.390, 261.970, 14023.000, 1727683616621
262.160, 261.820, 262.160, 261.800, 7464.000, 1727683676621
261.850, 261.750, 261.930, 261.730, 8266.000, 1727683736621
261.730, 261.860, 261.900, 261.700, 6430.000, 1727683796621
261.900, 261.940, 262.070, 261.830, 4444.000, 1727683856621
261.960, 261.950, 261.990, 261.900, 2965.000, 1727683916621
261.920, 262.080, 262.130, 261.860, 4942.000, 1727683976621
262.080, 261.960, 262.090, 261.870, 2873.000, 1727684036621
261.990, 262.160, 262.280, 261.970, 10009.000, 1727684096621
262.160, 262.000, 262.180, 261.830, 4085.000, 1727684156621
262.010, 261.880, 262.160, 261.800, 3429.000, 1727684216621
261.990, 261.420, 262.000, 261.410, 6358.000, 1727684276621
261.490, 261.590, 261.760, 261.410, 2951.000, 1727684336621
261.600, 261.480, 261.650, 261.420, 6795.000, 1727684396621
261.500, 261.410, 261.550, 261.400, 4396.000, 1727684456621
261.390, 261.520, 261.600, 261.390, 4551.000, 1727684516621
261.580, 261.540, 261.650, 261.520, 2803.000, 1727684576621
261.540, 261.590, 261.610, 261.480, 2504.000, 1727684636621
261.570, 261.640, 261.700, 261.520, 2163.000, 1727684696621
261.730, 261.600, 261.790, 261.600, 3705.000, 1727684756621
261.720, 261.700, 261.800, 261.610, 3372.000, 1727684816621
261.700, 261.680, 261.750, 261.530, 3802.000, 1727684876621
261.680, 261.610, 261.700, 261.500, 1889.000, 1727684936621
261.600, 261.590, 261.670, 261.500, 3048.000, 1727684996621
261.590, 261.360, 261.640, 261.330, 5429.000, 1727685056621
261.320, 261.070, 261.410, 261.030, 8984.000, 1727685116621
261.030, 260.790, 261.030, 260.660, 10372.000, 1727685176621
260.740, 260.900, 261.000, 260.500, 8023.000, 1727685236621
260.900, 260.720, 260.910, 260.700, 3995.000, 1727685296621
260.740, 260.560, 260.800, 260.500, 2161.000, 1727685356621
260.590, 260.680, 260.680, 260.460, 4205.000, 1727685416621
260.580, 260.640, 260.810, 260.580, 3866.000, 1727685476621
260.680, 260.740, 260.800, 260.590, 3414.000, 1727685536621
260.800, 260.830, 260.860, 260.750, 2857.000, 1727685596621
260.820, 260.920, 261.000, 260.800, 2533.000, 1727685656621
260.920, 260.970, 261.100, 260.900, 4563.000, 1727685716621
261.090, 261.130, 261.190, 260.950, 3261.000, 1727685776621
261.100, 261.230, 261.230, 261.050, 4095.000, 1727685836621
261.200, 261.240, 261.300, 261.190, 1867.000, 1727685896621
261.200, 261.290, 261.320, 261.130, 2147.000, 1727685956621
261.290, 261.520, 261.520, 261.290, 2403.000, 1727686016621
261.500, 261.670, 261.770, 261.490, 4717.000, 1727686076621
261.560, 261.680, 261.730, 261.510, 3329.000, 1727686136622
261.700, 261.700, 261.780, 261.700, 3454.000, 1727686196621
261.730, 261.540, 261.770, 261.480, 1877.000, 1727686256621
261.480, 261.420, 261.510, 261.410, 2802.000, 1727686316621
261.460, 261.360, 261.490, 261.360, 1069.000, 1727686376621
261.380, 261.490, 261.490, 261.340, 1255.000, 1727686436622
261.430, 261.220, 261.490, 261.210, 1234.000, 1727686496622
261.310, 260.880, 261.360, 260.500, 5883.000, 1727686556622
260.980, 261.060, 261.210, 260.830, 2853.000, 1727686616621
261.070, 261.160, 261.230, 261.050, 631.000, 1727686676621
261.160, 261.250, 261.250, 261.050, 2363.000, 1727686736621
261.220, 261.390, 261.390, 261.180, 1573.000, 1727686796621
261.220, 261.000, 261.230, 261.000, 1818.000, 1727686856621
261.000, 261.030, 261.050, 260.990, 4344.000, 1727686916621
261.000, 260.910, 261.000, 260.900, 854.000, 1727686976621
260.900, 260.700, 260.980, 260.690, 2324.000, 1727687036621
260.770, 260.700, 260.770, 260.630, 2580.000, 1727687096621
260.730, 260.790, 260.820, 260.700, 2626.000, 1727687156621
260.740, 260.750, 260.810, 260.720, 636.000, 1727687216621
260.760, 260.750, 260.790, 260.720, 1424.000, 1727687276621
260.740, 260.730, 260.780, 260.700, 2768.000, 1727687336621
260.730, 260.670, 260.730, 260.620, 3418.000, 1727687396621
260.650, 260.670, 260.730, 260.650, 2720.000, 1727687456621
260.670, 260.670, 260.680, 260.630, 2192.000, 1727687516621
260.640, 260.650, 260.700, 260.600, 5318.000, 1727687576621
260.670, 260.700, 260.790, 260.600, 4598.000, 1727687636621
260.700, 260.720, 260.770, 260.700, 1184.000, 1727687696621
260.720, 260.690, 260.790, 260.680, 4478.000, 1727687756621
260.720, 260.740, 260.760, 260.620, 4212.000, 1727687816621
260.700, 260.700, 260.800, 260.700, 3284.000, 1727687876621
260.700, 260.570, 260.700, 260.550, 2664.000, 1727687936621
260.550, 260.700, 260.770, 260.540, 3486.000, 1727687996621
260.720, 260.560, 260.760, 260.560, 4690.000, 1727688056621
260.600, 260.810, 260.830, 260.600, 5954.000, 1727688116621
260.810, 261.110, 261.160, 260.810, 6224.000, 1727688176621
261.130, 261.210, 261.290, 261.110, 6242.000, 1727688236621
261.250, 261.240, 261.290, 261.090, 1954.000, 1727688296621
261.180, 261.220, 261.290, 261.150, 4356.000, 1727688356621
261.180, 261.320, 261.320, 261.150, 2130.000, 1727688416621
261.280, 261.250, 261.280, 261.200, 1324.000, 1727688476621
261.280, 261.400, 261.400, 261.200, 5896.000, 1727688536621
261.340, 261.250, 261.380, 261.250, 14258.000, 1727688596621
261.220, 261.200, 261.260, 261.110, 2804.000, 1727688656621
261.250, 261.530, 261.530, 261.210, 5886.000, 1727688716621
261.550, 261.410, 261.580, 261.390, 6984.000, 1727688776621
261.410, 261.470, 261.500, 261.400, 1896.000, 1727688836621
261.500, 261.520, 261.590, 261.400, 6896.000, 1727688896621
261.580, 261.540, 261.650, 261.480, 2438.000, 1727688956621
261.600, 261.200, 261.650, 261.200, 8694.000, 1727689016621
261.250, 261.150, 261.340, 261.150, 1502.000, 1727689076621
261.170, 261.200, 261.240, 261.050, 4080.000, 1727689136621
261.250, 261.210, 261.260, 261.170, 742.000, 1727689196621
261.180, 261.150, 261.280, 261.120, 3118.000, 1727689256621
261.220, 261.280, 261.340, 261.160, 4854.000, 1727689316621
261.230, 261.200, 261.290, 261.200, 832.000, 1727689376621
261.250, 261.210, 261.280, 261.200, 1480.000, 1727689436621
261.260, 261.260, 261.310, 261.200, 1204.000, 1727689496621
261.290, 261.210, 261.300, 261.200, 3020.000, 1727689556621
261.240, 261.400, 261.400, 261.210, 3296.000, 1727689616621
261.400, 261.320, 261.500, 261.290, 2386.000, 1727689676621
261.420, 261.380, 261.420, 261.300, 722.000, 1727689736621
261.390, 261.370, 261.420, 261.330, 356.000, 1727689796621
261.390, 261.410, 261.470, 261.370, 2766.000, 1727689856621
261.410, 261.500, 261.540, 261.400, 1620.000, 1727689916621
261.400, 261.390, 261.490, 261.360, 1566.000, 1727689976621
261.390, 261.380, 261.460, 261.360, 612.000, 1727690036621
261.400, 261.390, 261.400, 261.380, 442.000, 1727690096621
261.390, 261.380, 261.450, 261.380, 1350.000, 1727690156621
261.450, 261.430, 261.450, 261.380, 172.000, 1727690216621
261.440, 261.360, 261.440, 261.320, 3952.000, 1727690276621
261.360, 261.320, 261.360, 261.320, 768.000, 1727690336621
261.360, 261.300, 261.360, 261.270, 2094.000, 1727690396622
261.290, 261.210, 261.330, 261.200, 1304.000, 1727690456621
261.210, 261.210, 261.280, 261.210, 642.000, 1727690516621
261.220, 261.220, 261.300, 261.200, 3566.000, 1727690576621
261.220, 261.160, 261.280, 261.000, 3912.000, 1727690636621
261.150, 261.200, 261.260, 261.060, 1264.000, 1727690696621
261.200, 261.170, 261.300, 261.170, 5154.000, 1727690756621
261.220, 261.240, 261.300, 261.210, 396.000, 1727690816621
261.270, 261.330, 261.490, 261.240, 5596.000, 1727690876621
261.330, 261.320, 261.400, 261.120, 2740.000, 1727690936621
261.320, 261.320, 261.400, 261.300, 200.000, 1727690996621
261.320, 261.310, 261.320, 261.210, 602.000, 1727691056621
261.210, 261.320, 261.320, 261.210, 820.000, 1727691116621
261.310, 261.320, 261.350, 261.300, 1412.000, 1727691176621
261.270, 261.280, 261.390, 261.270, 96.000, 1727691236621
261.280, 261.270, 261.360, 261.270, 334.000, 1727691296621
261.270, 261.300, 261.330, 261.250, 490.000, 1727691356621
261.300, 261.330, 261.330, 261.250, 578.000, 1727691416621
261.320, 261.330, 261.400, 261.320, 5392.000, 1727691476621
261.410, 261.370, 261.470, 261.340, 9210.000, 1727691536621
261.400, 261.400, 261.430, 261.380, 520.000, 1727691596621
261.330, 261.440, 261.440, 261.330, 2166.000, 1727691656621
261.420, 261.330, 261.420, 261.300, 716.000, 1727691716621
261.330, 261.330, 261.350, 261.300, 840.000, 1727691776621
261.330, 261.330, 261.350, 261.270, 318.000, 1727691836621
261.330, 261.290, 261.330, 261.290, 724.000, 1727691896621
261.270, 261.370, 261.420, 261.250, 2744.000, 1727691956621
261.390, 261.340, 261.410, 261.300, 1202.000, 1727692016621
261.300, 261.300, 261.390, 261.270, 4276.000, 1727692076621
261.300, 261.190, 261.300, 261.190, 1558.000, 1727692136621
261.200, 261.200, 261.200, 261.150, 466.000, 1727692196621
261.200, 261.200, 261.250, 261.200, 1436.000, 1727692256621
261.220, 261.200, 261.230, 261.200, 1352.000, 1727692316621
261.200, 261.160, 261.220, 261.120, 3696.000, 1727692376621
261.120, 261.080, 261.120, 261.020, 2200.000, 1727692436621
261.080, 261.000, 261.080, 261.000, 1866.000, 1727692496621
261.000, 260.870, 261.000, 260.800, 4504.000, 1727692556621
260.810, 260.880, 260.880, 260.700, 3056.000, 1727692616621
260.780, 260.880, 260.880, 260.780, 3484.000, 1727692676621
260.830, 260.900, 260.950, 260.830, 1548.000, 1727692736621
260.880, 260.830, 260.950, 260.800, 1200.000, 1727692796621
260.830, 260.830, 260.900, 260.800, 1180.000, 1727692856621
260.830, 260.910, 260.940, 260.800, 434.000, 1727692916621
260.840, 260.950, 260.990, 260.840, 746.000, 1727692976621
260.930, 260.880, 260.950, 260.880, 496.000, 1727693036621
260.980, 261.060, 261.060, 260.920, 2078.000, 1727693096621
261.000, 260.900, 261.110, 260.900, 1166.000, 1727693156621
260.990, 260.880, 260.990, 260.860, 764.000, 1727693216621
260.910, 260.910, 261.000, 260.860, 1220.000, 1727693276621
260.910, 260.850, 260.960, 260.850, 1516.000, 1727693336621
260.900, 260.920, 260.920, 260.850, 916.000, 1727693396621
260.890, 260.850, 260.910, 260.830, 852.000, 1727693456621
260.850, 260.760, 260.890, 260.750, 2186.000, 1727693516622
260.810, 260.800, 260.870, 260.760, 2022.000, 1727693576621
260.800, 260.710, 260.800, 260.710, 1676.000, 1727693636621
260.750, 260.780, 260.780, 260.690, 1740.000, 1727693696621
260.770, 260.710, 260.770, 260.680, 1588.000, 1727693756621
260.750, 260.700, 260.800, 260.700, 2450.000, 1727693816621
260.750, 260.750, 260.800, 260.750, 1044.000, 1727693876621
260.770, 260.740, 260.790, 260.620, 3138.000, 1727693936621
260.710, 260.730, 260.740, 260.620, 1484.000, 1727693996621
260.670, 260.740, 261.000, 260.620, 28338.000, 1727694056621
260.740, 260.940, 260.990, 260.650, 11500.000, 1727694116621
260.870, 260.920, 261.000, 260.870, 10484.000, 1727694176621
260.930, 260.850, 260.950, 260.510, 26754.000, 1727694236621
260.800, 260.650, 260.800, 260.460, 20594.000, 1727694296621
260.710, 259.920, 260.730, 259.900, 75726.000, 1727694356621
259.940, 259.780, 260.100, 259.500, 57400.000, 1727694416621
259.750, 259.610, 260.000, 259.400, 39418.000, 1727694476621
259.700, 259.500, 259.820, 259.310, 25018.000, 1727694536621
259.550, 259.640, 259.980, 259.500, 20386.000, 1727694596621
259.800, 259.690, 259.800, 259.360, 8240.000, 1727694656621
259.460, 259.350, 259.490, 259.300, 8980.000, 1727694716621
259.360, 259.260, 259.360, 259.020, 23292.000, 1727694776621
259.290, 259.100, 259.290, 259.100, 17108.000, 1727694836621
259.100, 259.260, 259.310, 259.080, 17868.000, 1727694896621
259.230, 259.630, 259.690, 259.220, 11076.000, 1727694956621
259.620, 259.630, 260.060, 259.600, 20522.000, 1727695016621
259.680, 259.710, 259.850, 259.610, 7372.000, 1727695076621
259.700, 259.610, 259.730, 259.410, 11758.000, 1727695136621
259.540, 259.620, 259.760, 259.450, 13138.000, 1727695196621
259.570, 259.610, 259.800, 259.550, 11046.000, 1727695256621
259.650, 259.550, 259.650, 259.500, 7648.000, 1727695316621
259.600, 259.770, 259.770, 259.590, 5960.000, 1727695376621
259.780, 259.630, 259.780, 259.500, 11166.000, 1727695436621
259.610, 259.510, 259.660, 259.510, 6764.000, 1727695496621
259.520, 259.500, 259.610, 259.500, 9372.000, 1727695556621
259.500, 259.420, 259.530, 259.400, 9854.000, 1727695616621
259.420, 260.000, 260.000, 259.410, 16474.000, 1727695676621
259.870, 259.900, 260.000, 259.800, 2556.000, 1727695736621
259.900, 259.860, 259.970, 259.810, 1876.000, 1727695796621
259.860, 259.820, 259.940, 259.820, 3456.000, 1727695856621
259.860, 259.790, 259.950, 259.700, 4088.000, 1727695916621
259.730, 259.800, 259.810, 259.730, 3446.000, 1727695976621
259.800, 259.830, 259.880, 259.770, 4964.000, 1727696036621
259.760, 259.760, 259.850, 259.690, 5096.000, 1727696096621
259.710, 259.680, 259.790, 259.680, 9888.000, 1727696156621
259.680, 259.640, 259.700, 259.630, 1258.000, 1727696216621
259.640, 259.650, 259.700, 259.590, 5550.000, 1727696276621
259.630, 259.280, 259.630, 259.280, 11972.000, 1727696336621
259.280, 259.250, 259.500, 259.250, 10460.000, 1727696396621
259.250, 259.090, 259.260, 259.070, 7534.000, 1727696456621
259.080, 259.090, 259.150, 259.050, 10550.000, 1727696516621
259.070, 259.020, 259.160, 259.000, 44122.000, 1727696576622
259.030, 259.180, 259.220, 259.030, 7496.000, 1727696636622
259.190, 259.100, 259.200, 259.100, 4242.000, 1727696696621
259.100, 259.060, 259.150, 259.050, 8078.000, 1727696756621
259.070, 259.090, 259.120, 259.060, 19452.000, 1727696816621
259.070, 258.900, 259.090, 258.880, 19218.000, 1727696876621
258.880, 258.870, 258.910, 258.700, 14904.000, 1727696936621
258.820, 258.580, 258.840, 258.570, 24744.000, 1727696996621
258.570, 258.480, 258.690, 258.480, 30296.000, 1727697056622
258.480, 258.230, 258.500, 258.200, 21882.000, 1727697116622
258.250, 258.230, 258.300, 258.200, 19676.000, 1727697176621
258.230, 258.300, 258.450, 258.200, 25868.000, 1727697236621
258.270, 258.340, 258.450, 258.270, 13712.000, 1727697296621
258.340, 258.510, 258.530, 258.320, 12814.000, 1727697356621
258.510, 258.590, 258.650, 258.510, 12098.000, 1727697416621
258.670, 258.680, 258.700, 258.570, 7156.000, 1727697476621
258.690, 258.690, 258.800, 258.650, 6704.000, 1727697536621
258.680, 258.760, 258.830, 258.680, 6382.000, 1727697596621
258.790, 258.910, 262.406, 258.200, 613619.000, 1727697656621
258.920, 259.100, 262.300, 258.230, 39494.000, 1727697716621
259.100, 259.120, 261.990, 258.740, 23162.000, 1727697776621
259.190, 259.200, 260.460, 259.110, 14944.000, 1727697836621
259.250, 259.340, 259.340, 259.110, 21056.000, 1727697896621
259.330, 259.490, 259.490, 259.300, 37492.000, 1727697956621
259.440, 259.540, 259.550, 259.420, 19052.000, 1727698016621
259.500, 259.740, 259.740, 259.500, 22298.000, 1727698076621
259.701, 259.645, 259.740, 259.540, 34892.000, 1727698136621
259.690, 259.790, 259.790, 259.630, 25178.000, 1727698196622
259.790, 259.590, 259.790, 259.590, 17318.000, 1727698256622
259.620, 259.490, 259.670, 259.380, 21612.000, 1727698316621
259.460, 259.450, 259.530, 259.286, 13488.000, 1727698376621
259.440, 259.400, 259.500, 259.280, 11368.000, 1727698436621
259.440, 259.225, 259.440, 259.120, 10544.000, 1727698496621
259.150, 259.260, 259.300, 259.100, 21324.000, 1727698556621
259.120, 259.140, 259.260, 259.020, 14664.000, 1727698616621
259.100, 259.180, 259.250, 259.070, 24972.000, 1727698676621
259.188, 259.210, 259.260, 259.160, 8114.000, 1727698736621
259.260, 259.400, 259.469, 259.200, 7776.000, 1727698796621
259.350, 259.390, 259.500, 259.300, 10042.000, 1727698856621
259.380, 259.290, 259.410, 259.253, 4928.000, 1727698916621
259.280, 259.105, 259.280, 259.000, 22292.000, 1727698976621
259.030, 259.040, 259.200, 259.000, 17560.000, 1727699036621
259.010, 258.950, 259.229, 258.870, 17006.000, 1727699096621
258.920, 259.020, 259.090, 258.800, 18566.000, 1727699156621
259.020, 258.970, 259.090, 258.887, 8216.000, 1727699216621
258.970, 259.000, 259.030, 258.908, 10452.000, 1727699276621
259.000, 258.950, 259.026, 258.950, 6890.000, 1727699336621
258.950, 259.050, 259.100, 258.950, 15288.000, 1727699396621
259.090, 259.160, 259.210, 259.032, 9750.000, 1727699456621
259.060, 259.020, 259.220, 259.020, 8002.000, 1727699516621
259.020, 259.100, 259.220, 259.020, 5940.000, 1727699576621
259.027, 258.998, 259.150, 258.810, 17446.000, 1727699636621
258.920, 258.930, 259.000, 258.910, 4014.000, 1727699696621
258.980, 259.070, 259.081, 258.920, 10122.000, 1727699756621
259.070, 259.180, 259.250, 259.020, 20282.000, 1727699816621
259.200, 259.020, 259.230, 258.950, 8802.000, 1727699876621
259.030, 258.900, 259.030, 258.820, 28358.000, 1727699936621
258.930, 258.870, 259.000, 258.830, 7264.000, 1727699996621
258.860, 258.540, 258.870, 258.540, 39704.000, 1727700056621
258.550, 258.600, 258.650, 258.480, 15074.000, 1727700116621
258.620, 258.801, 258.950, 258.570, 15732.000, 1727700176621
258.920, 258.700, 258.920, 258.690, 7456.000, 1727700236621
258.700, 258.580, 258.800, 258.580, 16108.000, 1727700296621
258.580, 258.700, 258.710, 258.500, 15612.000, 1727700356621
258.700, 258.514, 258.790, 258.500, 3366.000, 1727700416621
258.500, 258.460, 260.460, 258.400, 27776.000, 1727700476621
258.412, 258.660, 258.752, 258.390, 18830.000, 1727700536621
258.740, 258.770, 258.880, 258.620, 9696.000, 1727700596621
258.769, 258.730, 258.840, 258.700, 13058.000, 1727700656621
258.760, 258.850, 260.460, 258.700, 11104.000, 1727700716621
258.800, 259.060, 259.090, 258.751, 17618.000, 1727700776622
259.050, 258.940, 259.170, 258.876, 10580.000, 1727700836622
258.900, 259.020, 259.060, 258.900, 11292.000, 1727700896622
258.980, 258.910, 259.040, 258.900, 11842.000, 1727700956622
258.940, 259.091, 259.140, 258.900, 11464.000, 1727701016621
258.954, 258.920, 259.100, 258.900, 7868.000, 1727701076621
258.930, 258.900, 258.950, 258.880, 8516.000, 1727701136621
258.900, 258.590, 258.910, 258.590, 25332.000, 1727701196621
258.680, 258.595, 258.790, 258.580, 13010.000, 1727701256621
258.590, 258.380, 258.600, 258.350, 37360.000, 1727701316621
258.410, 258.120, 258.500, 258.100, 51958.000, 1727701376621
258.120, 258.440, 258.480, 258.020, 50080.000, 1727701436621
258.440, 258.370, 258.500, 258.300, 23172.000, 1727701496621
258.397, 258.140, 258.430, 258.100, 37192.000, 1727701556621
258.101, 258.150, 258.350, 258.100, 18270.000, 1727701616621
258.160, 258.300, 258.360, 258.150, 22310.000, 1727701676621
258.290, 258.285, 258.300, 258.230, 12538.000, 1727701736621
258.270, 258.270, 258.300, 258.200, 17194.000, 1727701796621
258.260, 258.400, 258.400, 258.200, 20660.000, 1727701856621
258.321, 258.600, 258.630, 258.250, 37884.000, 1727701916621
258.600, 258.580, 258.600, 258.510, 14156.000, 1727701976621
258.570, 258.600, 258.638, 258.530, 17344.000, 1727702036621
258.550, 258.461, 258.580, 258.390, 11718.000, 1727702096621
258.480, 258.500, 258.550, 258.430, 9744.000, 1727702156621
